ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
777-25-9094|4245237534607002|Felicia|Jones|F|404 Small Divide|Paradise|UT|84328|41.56|-111.8297|1666|Copy|1978-07-29|689996537761|adults_2550_female_rural.json|72db22b8800cc1b89a59077407151785|2025-01-02|02:28:43|1735784923|gas_transport|10.01|1|fraud_Bartoletti-Wunsch|41.219912|-112.206180
777-25-9094|4245237534607002|Felicia|Jones|F|404 Small Divide|Paradise|UT|84328|41.56|-111.8297|1666|Copy|1978-07-29|689996537761|adults_2550_female_rural.json|9068b306e1648450794072aed2c2d944|2025-01-02|04:17:29|1735791449|misc_net|6.68|1|fraud_Johnson, Runolfsdottir and Mayer|41.238121|-111.245919
777-25-9094|4245237534607002|Felicia|Jones|F|404 Small Divide|Paradise|UT|84328|41.56|-111.8297|1666|Copy|1978-07-29|689996537761|adults_2550_female_rural.json|e98c443702241ee7743fe2ca4d3caaa9|2025-01-02|03:30:35|1735788635|grocery_pos|10.90|1|fraud_Doyle Ltd|41.850356|-110.997430
777-25-9094|4245237534607002|Felicia|Jones|F|404 Small Divide|Paradise|UT|84328|41.56|-111.8297|1666|Copy|1978-07-29|689996537761|adults_2550_female_rural.json|46c0862432d4bfc1a8625444711915d4|2025-01-02|02:49:43|1735786183|misc_pos|357.89|1|fraud_McDermott-Rice|42.262958|-111.652521
777-25-9094|4245237534607002|Felicia|Jones|F|404 Small Divide|Paradise|UT|84328|41.56|-111.8297|1666|Copy|1978-07-29|689996537761|adults_2550_female_rural.json|80dc40e39a277a7eb0a78ce0bdf9b58e|2025-01-02|02:38:58|1735785538|gas_transport|373.68|1|fraud_Friesen-Stamm|41.464931|-111.989863
777-25-9094|4245237534607002|Felicia|Jones|F|404 Small Divide|Paradise|UT|84328|41.56|-111.8297|1666|Copy|1978-07-29|689996537761|adults_2550_female_rural.json|2053ad9188e33da1af97b751c3f89d94|2025-01-02|02:52:16|1735786336|grocery_pos|361.81|1|fraud_Heller, Gutmann and Zieme|41.883773|-111.603212
777-25-9094|4245237534607002|Felicia|Jones|F|404 Small Divide|Paradise|UT|84328|41.56|-111.8297|1666|Copy|1978-07-29|689996537761|adults_2550_female_rural.json|1e72af38ff699c9b23c8c0ee1b84a9af|2025-01-02|03:35:11|1735788911|grocery_pos|731.18|1|fraud_Kuhic Inc|40.770813|-112.340861
777-25-9094|4245237534607002|Felicia|Jones|F|404 Small Divide|Paradise|UT|84328|41.56|-111.8297|1666|Copy|1978-07-29|689996537761|adults_2550_female_rural.json|13f85c9aa1cf749d963b67d20a6d5ac1|2025-01-02|00:01:15|1735776075|gas_transport|832.31|1|fraud_Olson, Becker and Koch|41.140123|-110.872737
777-25-9094|4245237534607002|Felicia|Jones|F|404 Small Divide|Paradise|UT|84328|41.56|-111.8297|1666|Copy|1978-07-29|689996537761|adults_2550_female_rural.json|26c34dc9be1fa715947188dcacabc238|2025-01-03|22:58:03|1735945083|home|525.17|1|fraud_Gutmann, McLaughlin and Wiza|41.609093|-111.133146
777-25-9094|4245237534607002|Felicia|Jones|F|404 Small Divide|Paradise|UT|84328|41.56|-111.8297|1666|Copy|1978-07-29|689996537761|adults_2550_female_rural.json|7afd90cc8c7399d95ac8fd683e91224e|2025-01-03|22:23:43|1735943023|food_dining|134.05|1|fraud_McCullough, Hudson and Schuster|41.373227|-111.753146
777-25-9094|4245237534607002|Felicia|Jones|F|404 Small Divide|Paradise|UT|84328|41.56|-111.8297|1666|Copy|1978-07-29|689996537761|adults_2550_female_rural.json|3abb0ba2e50ac05f4dbe910b29e89577|2025-01-03|23:16:28|1735946188|personal_care|219.99|1|fraud_Hahn, Bahringer and McLaughlin|41.117660|-112.200153
777-25-9094|4245237534607002|Felicia|Jones|F|404 Small Divide|Paradise|UT|84328|41.56|-111.8297|1666|Copy|1978-07-29|689996537761|adults_2550_female_rural.json|2ed9a082b35b4bf8a38db8382ba8ca71|2025-01-03|23:24:30|1735946670|entertainment|276.72|1|fraud_Welch, Rath and Koepp|41.599587|-111.538802
777-25-9094|4245237534607002|Felicia|Jones|F|404 Small Divide|Paradise|UT|84328|41.56|-111.8297|1666|Copy|1978-07-29|689996537761|adults_2550_female_rural.json|9953050cfe1461c3c2cb3aba5b805945|2025-01-03|23:44:23|1735947863|kids_pets|19.56|1|fraud_Rau-Robel|40.722835|-112.141807
777-25-9094|4245237534607002|Felicia|Jones|F|404 Small Divide|Paradise|UT|84328|41.56|-111.8297|1666|Copy|1978-07-29|689996537761|adults_2550_female_rural.json|2afcac100b876427aced3d4a5231f247|2025-01-03|23:29:19|1735946959|home|21.43|1|fraud_Schmidt-Larkin|41.457718|-111.884104
777-25-9094|4245237534607002|Felicia|Jones|F|404 Small Divide|Paradise|UT|84328|41.56|-111.8297|1666|Copy|1978-07-29|689996537761|adults_2550_female_rural.json|2770d0be383274d08955f57491f80045|2025-01-01|03:34:27|1735702467|gas_transport|37.76|0|fraud_Raynor, Reinger and Hagenes|41.802226|-112.272925
