ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
151-55-2279|6011166663475625|Julie|Hughes|F|469 Sanchez Common|Jackson|MS|39212|32.2435|-90.2612|233060|Chartered accountant|1984-08-15|328437924047|adults_2550_female_urban.json|34cc1da0b193941a4528575a157364ae|2025-01-03|01:14:35|1735866875|shopping_pos|899.50|1|fraud_Kihn Inc|32.499234|-91.061195
151-55-2279|6011166663475625|Julie|Hughes|F|469 Sanchez Common|Jackson|MS|39212|32.2435|-90.2612|233060|Chartered accountant|1984-08-15|328437924047|adults_2550_female_urban.json|b05bc755b73f558368e267eabf2829ba|2025-01-02|02:46:04|1735785964|shopping_net|876.97|1|fraud_Stanton, Jakubowski and Baumbach|33.065480|-89.842550
151-55-2279|6011166663475625|Julie|Hughes|F|469 Sanchez Common|Jackson|MS|39212|32.2435|-90.2612|233060|Chartered accountant|1984-08-15|328437924047|adults_2550_female_urban.json|712150c09ec7178a714c1ea3c2632986|2025-01-01|05:20:04|1735708804|grocery_pos|187.47|0|fraud_Moen, Reinger and Murphy|31.647612|-90.038778
151-55-2279|6011166663475625|Julie|Hughes|F|469 Sanchez Common|Jackson|MS|39212|32.2435|-90.2612|233060|Chartered accountant|1984-08-15|328437924047|adults_2550_female_urban.json|8b38012ef0ac29919920283228c6f659|2025-01-01|18:16:55|1735755415|shopping_pos|81.63|0|fraud_Kris-Padberg|32.624417|-89.756896
438-06-6282|3550857021606695|Laura|Munoz|F|04036 Day Parkways Suite 239|Bonaire|GA|31005|32.546|-83.6047|15102|Veterinary surgeon|1999-11-10|545455419097|adults_2550_female_urban.json|275b15c9b96dc5787c4470db57697237|2025-01-03|02:39:57|1735871997|shopping_pos|8.19|1|fraud_Bernhard, Grant and Langworth|32.937616|-83.198958
438-06-6282|3550857021606695|Laura|Munoz|F|04036 Day Parkways Suite 239|Bonaire|GA|31005|32.546|-83.6047|15102|Veterinary surgeon|1999-11-10|545455419097|adults_2550_female_urban.json|85d9114da9cbe4a7de9033a75b76378b|2025-01-02|02:10:03|1735783803|shopping_pos|1016.30|1|fraud_Kihn Inc|31.697603|-84.509206
438-06-6282|3550857021606695|Laura|Munoz|F|04036 Day Parkways Suite 239|Bonaire|GA|31005|32.546|-83.6047|15102|Veterinary surgeon|1999-11-10|545455419097|adults_2550_female_urban.json|3e038ce6ead7405794e9d859665bbfe2|2025-01-02|08:35:53|1735806953|gas_transport|755.62|1|fraud_Ledner-Pfannerstill|32.390568|-83.421743
438-06-6282|3550857021606695|Laura|Munoz|F|04036 Day Parkways Suite 239|Bonaire|GA|31005|32.546|-83.6047|15102|Veterinary surgeon|1999-11-10|545455419097|adults_2550_female_urban.json|fa72c791b4ac2a5b87a2966547a56d1f|2025-01-03|02:36:08|1735871768|shopping_pos|709.96|1|fraud_Swaniawski, Lowe and Robel|31.888768|-84.574687
438-06-6282|3550857021606695|Laura|Munoz|F|04036 Day Parkways Suite 239|Bonaire|GA|31005|32.546|-83.6047|15102|Veterinary surgeon|1999-11-10|545455419097|adults_2550_female_urban.json|0fd2c29aa31551bb755139179216a924|2025-01-02|01:29:43|1735781383|shopping_pos|811.20|1|fraud_Hudson-Grady|33.030392|-82.899526
438-06-6282|3550857021606695|Laura|Munoz|F|04036 Day Parkways Suite 239|Bonaire|GA|31005|32.546|-83.6047|15102|Veterinary surgeon|1999-11-10|545455419097|adults_2550_female_urban.json|4070ab5f57238aab3931d18dad8afc8e|2025-01-02|09:25:15|1735809915|shopping_net|818.02|1|fraud_Reichert, Shanahan and Hayes|32.800010|-83.373446
438-06-6282|3550857021606695|Laura|Munoz|F|04036 Day Parkways Suite 239|Bonaire|GA|31005|32.546|-83.6047|15102|Veterinary surgeon|1999-11-10|545455419097|adults_2550_female_urban.json|c27d293bde91fa07b41d7b05e8effcfd|2025-01-03|22:56:49|1735945009|food_dining|125.28|1|fraud_Haag-Blanda|32.412416|-82.627508
438-06-6282|3550857021606695|Laura|Munoz|F|04036 Day Parkways Suite 239|Bonaire|GA|31005|32.546|-83.6047|15102|Veterinary surgeon|1999-11-10|545455419097|adults_2550_female_urban.json|cf300ab556f20323fa8124ebf56b1d34|2025-01-03|12:42:02|1735908122|personal_care|17.53|1|fraud_Kirlin and Sons|32.579787|-83.325372
438-06-6282|3550857021606695|Laura|Munoz|F|04036 Day Parkways Suite 239|Bonaire|GA|31005|32.546|-83.6047|15102|Veterinary surgeon|1999-11-10|545455419097|adults_2550_female_urban.json|1dd7dd455150d111b7a57564a550d4aa|2025-01-01|20:24:53|1735763093|shopping_net|8.58|0|fraud_Towne, Greenholt and Koepp|31.880528|-83.624694
098-56-8800|6011963362664461|Sarah|Turner|F|202 Patricia Pine|Kyle|TX|78640|29.9966|-97.8335|42954|Careers information officer|1991-03-05|400277673748|adults_2550_female_urban.json|edb8e7a0e709fddb8d470747f51b26a5|2025-01-02|01:43:13|1735782193|grocery_pos|7.85|1|fraud_Lockman, West and Runte|29.189809|-98.348948
098-56-8800|6011963362664461|Sarah|Turner|F|202 Patricia Pine|Kyle|TX|78640|29.9966|-97.8335|42954|Careers information officer|1991-03-05|400277673748|adults_2550_female_urban.json|f01a330a5ca63ddf06ca9e2a32ac39cc|2025-01-02|03:42:45|1735789365|shopping_net|359.52|1|fraud_Volkman-Predovic|29.264485|-96.917580
098-56-8800|6011963362664461|Sarah|Turner|F|202 Patricia Pine|Kyle|TX|78640|29.9966|-97.8335|42954|Careers information officer|1991-03-05|400277673748|adults_2550_female_urban.json|7d966c6db147393bfae1da11e8610241|2025-01-02|02:23:34|1735784614|grocery_pos|329.31|1|fraud_Padberg-Welch|30.078242|-98.080936
098-56-8800|6011963362664461|Sarah|Turner|F|202 Patricia Pine|Kyle|TX|78640|29.9966|-97.8335|42954|Careers information officer|1991-03-05|400277673748|adults_2550_female_urban.json|891e26dd45d09733396ca95a01de21c1|2025-01-03|01:32:44|1735867964|entertainment|359.88|1|fraud_Howe PLC|30.665403|-98.747066
098-56-8800|6011963362664461|Sarah|Turner|F|202 Patricia Pine|Kyle|TX|78640|29.9966|-97.8335|42954|Careers information officer|1991-03-05|400277673748|adults_2550_female_urban.json|f9eaba28660bfa8f27e9076bcff205f2|2025-01-02|03:56:01|1735790161|shopping_net|1021.09|1|fraud_Ruecker, Beer and Collier|30.742245|-97.748226
098-56-8800|6011963362664461|Sarah|Turner|F|202 Patricia Pine|Kyle|TX|78640|29.9966|-97.8335|42954|Careers information officer|1991-03-05|400277673748|adults_2550_female_urban.json|2df9e453e26618fe1d01a1b2586c1947|2025-01-02|03:43:04|1735789384|grocery_pos|1040.18|1|fraud_Bailey-Morar|30.199611|-98.680255
098-56-8800|6011963362664461|Sarah|Turner|F|202 Patricia Pine|Kyle|TX|78640|29.9966|-97.8335|42954|Careers information officer|1991-03-05|400277673748|adults_2550_female_urban.json|977530004dd3190864f0ba3227ae1b5d|2025-01-02|03:46:50|1735789610|gas_transport|564.41|1|fraud_Stroman, Hudson and Erdman|30.178497|-96.865993
