ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
144-65-4740|4995342836449|Antonio|Fry|M|687 Teresa Row|Page|ND|58064|47.1515|-97.5967|450|Museum/gallery curator|1977-12-02|578900622716|adults_2550_male_rural.json|33e99aa6f94199adfa41977ed437496b|2025-01-02|00:43:03|1735778583|grocery_net|12.43|1|fraud_Rutherford, Homenick and Bergstrom|46.823236|-97.199574
144-65-4740|4995342836449|Antonio|Fry|M|687 Teresa Row|Page|ND|58064|47.1515|-97.5967|450|Museum/gallery curator|1977-12-02|578900622716|adults_2550_male_rural.json|c95f036b9d5690d627e316ae522f1145|2025-01-02|02:20:49|1735784449|grocery_pos|312.22|1|fraud_Hackett-Lueilwitz|46.434430|-97.688164
144-65-4740|4995342836449|Antonio|Fry|M|687 Teresa Row|Page|ND|58064|47.1515|-97.5967|450|Museum/gallery curator|1977-12-02|578900622716|adults_2550_male_rural.json|d9736fb587aab1de5406ec26afc958c2|2025-01-02|10:19:41|1735813181|grocery_pos|280.29|1|fraud_Kutch and Sons|46.597726|-97.270443
144-65-4740|4995342836449|Antonio|Fry|M|687 Teresa Row|Page|ND|58064|47.1515|-97.5967|450|Museum/gallery curator|1977-12-02|578900622716|adults_2550_male_rural.json|0fcd90abebfa89baf161e75d182bbb95|2025-01-03|23:50:42|1735948242|shopping_net|306.06|1|fraud_Romaguera, Cruickshank and Greenholt|48.085043|-96.917314
144-65-4740|4995342836449|Antonio|Fry|M|687 Teresa Row|Page|ND|58064|47.1515|-97.5967|450|Museum/gallery curator|1977-12-02|578900622716|adults_2550_male_rural.json|bc9ecae21c71d8a71dc34fd771bb606b|2025-01-03|22:27:41|1735943261|shopping_net|817.64|1|fraud_Mosciski, Ziemann and Farrell|48.003581|-96.798871
144-65-4740|4995342836449|Antonio|Fry|M|687 Teresa Row|Page|ND|58064|47.1515|-97.5967|450|Museum/gallery curator|1977-12-02|578900622716|adults_2550_male_rural.json|2caa8b4b0d64a2937298f0f43c552efb|2025-01-02|23:26:43|1735860403|misc_net|775.80|1|fraud_Jones, Sawayn and Romaguera|46.879071|-97.912817
144-65-4740|4995342836449|Antonio|Fry|M|687 Teresa Row|Page|ND|58064|47.1515|-97.5967|450|Museum/gallery curator|1977-12-02|578900622716|adults_2550_male_rural.json|77c60fcc5a552a933e998dc23145fff7|2025-01-03|22:39:01|1735943941|shopping_net|689.34|1|fraud_Baumbach, Feeney and Morar|47.521394|-96.877965
144-65-4740|4995342836449|Antonio|Fry|M|687 Teresa Row|Page|ND|58064|47.1515|-97.5967|450|Museum/gallery curator|1977-12-02|578900622716|adults_2550_male_rural.json|adf6367f1e9507fc213edf9ed532e328|2025-01-03|23:36:12|1735947372|shopping_pos|7.33|1|fraud_Pacocha-Bauch|47.413225|-97.358760
144-65-4740|4995342836449|Antonio|Fry|M|687 Teresa Row|Page|ND|58064|47.1515|-97.5967|450|Museum/gallery curator|1977-12-02|578900622716|adults_2550_male_rural.json|3c864bd966dc5bdfc3a1720048a7706d|2025-01-02|23:04:45|1735859085|grocery_pos|966.39|1|fraud_McDermott-Weimann|46.396110|-97.231445
144-65-4740|4995342836449|Antonio|Fry|M|687 Teresa Row|Page|ND|58064|47.1515|-97.5967|450|Museum/gallery curator|1977-12-02|578900622716|adults_2550_male_rural.json|e49875fadbd022daf7865377c7a41a2b|2025-01-03|22:01:46|1735941706|shopping_net|1021.48|1|fraud_Predovic Inc|47.306196|-96.936924
144-65-4740|4995342836449|Antonio|Fry|M|687 Teresa Row|Page|ND|58064|47.1515|-97.5967|450|Museum/gallery curator|1977-12-02|578900622716|adults_2550_male_rural.json|3a3e1842d1ff8364a3be878f01a00d64|2025-01-03|22:38:29|1735943909|shopping_net|889.45|1|fraud_Kerluke-Abshire|46.732555|-96.734561
144-65-4740|4995342836449|Antonio|Fry|M|687 Teresa Row|Page|ND|58064|47.1515|-97.5967|450|Museum/gallery curator|1977-12-02|578900622716|adults_2550_male_rural.json|c657d9551a08ddfa3e615b731eac37f1|2025-01-03|22:20:15|1735942815|misc_pos|908.57|1|fraud_Howe Ltd|46.913734|-97.617467
144-65-4740|4995342836449|Antonio|Fry|M|687 Teresa Row|Page|ND|58064|47.1515|-97.5967|450|Museum/gallery curator|1977-12-02|578900622716|adults_2550_male_rural.json|849436d027fa8c93d9a4285d5121a761|2025-01-03|22:12:01|1735942321|misc_net|853.54|1|fraud_Jones, Sawayn and Romaguera|46.798521|-97.772642
144-65-4740|4995342836449|Antonio|Fry|M|687 Teresa Row|Page|ND|58064|47.1515|-97.5967|450|Museum/gallery curator|1977-12-02|578900622716|adults_2550_male_rural.json|f7ddaebd2df0515962f95417cc413e40|2025-01-03|23:47:33|1735948053|misc_net|982.35|1|fraud_Bernier, Volkman and Hoeger|46.436724|-98.263669
144-65-4740|4995342836449|Antonio|Fry|M|687 Teresa Row|Page|ND|58064|47.1515|-97.5967|450|Museum/gallery curator|1977-12-02|578900622716|adults_2550_male_rural.json|9ae7d48af0748fc201a345a7123b6248|2025-01-01|03:33:45|1735702425|grocery_pos|87.57|0|fraud_Schultz, Simonis and Little|47.579461|-96.701609
144-65-4740|4995342836449|Antonio|Fry|M|687 Teresa Row|Page|ND|58064|47.1515|-97.5967|450|Museum/gallery curator|1977-12-02|578900622716|adults_2550_male_rural.json|79f9cd74be10127710524a5e8f2c7f19|2025-01-01|04:01:59|1735704119|grocery_pos|109.64|0|fraud_Rutherford-Mertz|46.910678|-97.501823
144-65-4740|4995342836449|Antonio|Fry|M|687 Teresa Row|Page|ND|58064|47.1515|-97.5967|450|Museum/gallery curator|1977-12-02|578900622716|adults_2550_male_rural.json|3e920f3d04b3601026d704f818ef7fc9|2025-01-01|03:54:09|1735703649|shopping_pos|83.56|0|fraud_Hermann and Sons|46.555425|-96.893640
144-65-4740|4995342836449|Antonio|Fry|M|687 Teresa Row|Page|ND|58064|47.1515|-97.5967|450|Museum/gallery curator|1977-12-02|578900622716|adults_2550_male_rural.json|d2a92cb1475d3d401b765013ad5ea67c|2025-01-01|06:05:07|1735711507|shopping_net|143.13|0|fraud_Cormier LLC|47.066775|-98.030924
461-34-5712|2413395962923307|Kelly|Patel|M|4494 Derek Terrace|Mc Laughlin|SD|57642|45.8763|-100.8915|1917|Paramedic|1993-02-04|68370591034|adults_2550_male_rural.json|c71c487551014e3b4bd17c2c7f5af45b|2025-01-02|00:57:17|1735779437|grocery_net|9.61|1|fraud_Emmerich-Luettgen|46.030845|-100.489224
461-34-5712|2413395962923307|Kelly|Patel|M|4494 Derek Terrace|Mc Laughlin|SD|57642|45.8763|-100.8915|1917|Paramedic|1993-02-04|68370591034|adults_2550_male_rural.json|f941f796e84f5cf2d65026ffa9f3c602|2025-01-02|02:37:40|1735785460|gas_transport|11.57|1|fraud_Huels-Nolan|46.035608|-101.219348
461-34-5712|2413395962923307|Kelly|Patel|M|4494 Derek Terrace|Mc Laughlin|SD|57642|45.8763|-100.8915|1917|Paramedic|1993-02-04|68370591034|adults_2550_male_rural.json|a7e327b474c2c5edead9073b741b9731|2025-01-02|05:05:31|1735794331|grocery_pos|277.54|1|fraud_Kilback LLC|46.158144|-101.406739
461-34-5712|2413395962923307|Kelly|Patel|M|4494 Derek Terrace|Mc Laughlin|SD|57642|45.8763|-100.8915|1917|Paramedic|1993-02-04|68370591034|adults_2550_male_rural.json|d24ef5f4f46a4bbb4b3cd023de9b2224|2025-01-02|23:51:01|1735861861|grocery_pos|287.23|1|fraud_DuBuque LLC|46.029680|-100.720177
461-34-5712|2413395962923307|Kelly|Patel|M|4494 Derek Terrace|Mc Laughlin|SD|57642|45.8763|-100.8915|1917|Paramedic|1993-02-04|68370591034|adults_2550_male_rural.json|eb2d12f64e5d660017d4bd23440586bb|2025-01-03|14:13:23|1735913603|shopping_net|286.51|1|fraud_Streich, Dietrich and Barton|45.335170|-99.989101
461-34-5712|2413395962923307|Kelly|Patel|M|4494 Derek Terrace|Mc Laughlin|SD|57642|45.8763|-100.8915|1917|Paramedic|1993-02-04|68370591034|adults_2550_male_rural.json|bd55eddf6dfdf6f26defe4692defff0f|2025-01-03|23:57:54|1735948674|shopping_net|858.66|1|fraud_Little, Gutmann and Lynch|45.112480|-100.165413
