ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
572-61-7503|6514425127802028|Anthony|Snyder|M|59181 Tracey Springs Apt. 039|Rockaway Park|NY|11694|40.5766|-73.8428|20408|Chartered public finance accountant|1996-05-03|906822963385|adults_2550_male_urban.json|befa4a2760e9a9c245d6c8f0ff532156|2025-01-03|02:42:36|1735872156|misc_net|10.49|1|fraud_McGlynn-Heathcote|41.191163|-74.258390
572-61-7503|6514425127802028|Anthony|Snyder|M|59181 Tracey Springs Apt. 039|Rockaway Park|NY|11694|40.5766|-73.8428|20408|Chartered public finance accountant|1996-05-03|906822963385|adults_2550_male_urban.json|af5c0ddf984bbbedc72d6166d1ddb0d2|2025-01-03|03:03:56|1735873436|misc_net|278.44|1|fraud_Flatley-Durgan|40.035631|-74.280309
572-61-7503|6514425127802028|Anthony|Snyder|M|59181 Tracey Springs Apt. 039|Rockaway Park|NY|11694|40.5766|-73.8428|20408|Chartered public finance accountant|1996-05-03|906822963385|adults_2550_male_urban.json|119bdedac92d5eba4835d139803fe635|2025-01-02|10:31:08|1735813868|grocery_pos|748.72|1|fraud_Koepp-Parker|40.606367|-73.992307
572-61-7503|6514425127802028|Anthony|Snyder|M|59181 Tracey Springs Apt. 039|Rockaway Park|NY|11694|40.5766|-73.8428|20408|Chartered public finance accountant|1996-05-03|906822963385|adults_2550_male_urban.json|eb3b3f1492ef8986646057de2ea81910|2025-01-02|01:44:18|1735782258|gas_transport|739.34|1|fraud_Raynor, Feest and Miller|40.280392|-74.702369
572-61-7503|6514425127802028|Anthony|Snyder|M|59181 Tracey Springs Apt. 039|Rockaway Park|NY|11694|40.5766|-73.8428|20408|Chartered public finance accountant|1996-05-03|906822963385|adults_2550_male_urban.json|1dea9a76020c7d8242f0d93505234e89|2025-01-03|03:21:21|1735874481|misc_net|807.83|1|fraud_Kerluke Inc|41.245883|-74.207479
572-61-7503|6514425127802028|Anthony|Snyder|M|59181 Tracey Springs Apt. 039|Rockaway Park|NY|11694|40.5766|-73.8428|20408|Chartered public finance accountant|1996-05-03|906822963385|adults_2550_male_urban.json|2b2fcb3da98eef66e7d2864b35f6510f|2025-01-03|22:02:46|1735941766|shopping_net|856.14|1|fraud_Little, Gutmann and Lynch|41.388140|-72.939059
572-61-7503|6514425127802028|Anthony|Snyder|M|59181 Tracey Springs Apt. 039|Rockaway Park|NY|11694|40.5766|-73.8428|20408|Chartered public finance accountant|1996-05-03|906822963385|adults_2550_male_urban.json|1ef108ab45e0e196dc492b16aaeefd58|2025-01-03|22:15:08|1735942508|shopping_net|1061.56|1|fraud_Kassulke PLC|40.371632|-73.981141
572-61-7503|6514425127802028|Anthony|Snyder|M|59181 Tracey Springs Apt. 039|Rockaway Park|NY|11694|40.5766|-73.8428|20408|Chartered public finance accountant|1996-05-03|906822963385|adults_2550_male_urban.json|2c7c1f50d414528ea37d76262f06fa77|2025-01-03|22:14:17|1735942457|shopping_pos|1043.39|1|fraud_Swaniawski, Lowe and Robel|41.379821|-73.723064
572-61-7503|6514425127802028|Anthony|Snyder|M|59181 Tracey Springs Apt. 039|Rockaway Park|NY|11694|40.5766|-73.8428|20408|Chartered public finance accountant|1996-05-03|906822963385|adults_2550_male_urban.json|cc1afb6ac8dd1a005e44fb21b000a1da|2025-01-03|22:29:11|1735943351|misc_net|953.09|1|fraud_Johnson, Runolfsdottir and Mayer|40.331990|-73.082356
572-61-7503|6514425127802028|Anthony|Snyder|M|59181 Tracey Springs Apt. 039|Rockaway Park|NY|11694|40.5766|-73.8428|20408|Chartered public finance accountant|1996-05-03|906822963385|adults_2550_male_urban.json|e12dc45391348ac8cf4caeccfc8fe475|2025-01-01|01:21:06|1735694466|grocery_net|32.52|0|fraud_Morissette, Weber and Wiegand|40.692295|-74.834844
709-36-3582|4102854273784720575|John|Smith|M|349 Eric Stravenue|Baton Rouge|LA|70815|30.4558|-91.0596|378909|Designer, interior/spatial|1992-02-10|173313285443|adults_2550_male_urban.json|37220d5d07f9335209d1990bb55d83bc|2025-01-02|02:05:58|1735783558|grocery_pos|306.39|1|fraud_Osinski, Ledner and Leuschke|30.798970|-91.548995
709-36-3582|4102854273784720575|John|Smith|M|349 Eric Stravenue|Baton Rouge|LA|70815|30.4558|-91.0596|378909|Designer, interior/spatial|1992-02-10|173313285443|adults_2550_male_urban.json|bc35474aed8a8f645c332305d91988fa|2025-01-02|02:12:46|1735783966|misc_net|293.38|1|fraud_Kuhn LLC|31.398836|-90.554974
709-36-3582|4102854273784720575|John|Smith|M|349 Eric Stravenue|Baton Rouge|LA|70815|30.4558|-91.0596|378909|Designer, interior/spatial|1992-02-10|173313285443|adults_2550_male_urban.json|22a512b1a18fe766da8ce63d2988e057|2025-01-02|01:40:46|1735782046|grocery_pos|303.34|1|fraud_Kutch and Sons|30.014713|-91.743336
709-36-3582|4102854273784720575|John|Smith|M|349 Eric Stravenue|Baton Rouge|LA|70815|30.4558|-91.0596|378909|Designer, interior/spatial|1992-02-10|173313285443|adults_2550_male_urban.json|64a3dba2ee736a9aca030f0042d1d082|2025-01-02|02:55:17|1735786517|grocery_pos|308.65|1|fraud_Padberg-Welch|31.403273|-91.721561
709-36-3582|4102854273784720575|John|Smith|M|349 Eric Stravenue|Baton Rouge|LA|70815|30.4558|-91.0596|378909|Designer, interior/spatial|1992-02-10|173313285443|adults_2550_male_urban.json|b81f5da2141e4be4b60aa637d83f0f3e|2025-01-02|03:24:36|1735788276|grocery_pos|850.10|1|fraud_Rau and Sons|30.694991|-91.599119
709-36-3582|4102854273784720575|John|Smith|M|349 Eric Stravenue|Baton Rouge|LA|70815|30.4558|-91.0596|378909|Designer, interior/spatial|1992-02-10|173313285443|adults_2550_male_urban.json|fc02810cc29ccad359257d41eeb44871|2025-01-03|23:58:36|1735948716|personal_care|784.08|1|fraud_Leffler-Goldner|31.177155|-91.890081
709-36-3582|4102854273784720575|John|Smith|M|349 Eric Stravenue|Baton Rouge|LA|70815|30.4558|-91.0596|378909|Designer, interior/spatial|1992-02-10|173313285443|adults_2550_male_urban.json|f8744082762708b689b17285f8aaa3a5|2025-01-03|22:57:01|1735945021|shopping_net|7.18|1|fraud_Greenholt, O'Hara and Balistreri|29.653492|-90.781785
709-36-3582|4102854273784720575|John|Smith|M|349 Eric Stravenue|Baton Rouge|LA|70815|30.4558|-91.0596|378909|Designer, interior/spatial|1992-02-10|173313285443|adults_2550_male_urban.json|42eb3e9d4818615e4a27b41591fa1ca9|2025-01-03|23:31:50|1735947110|misc_net|987.29|1|fraud_Hamill-Daugherty|29.958554|-91.176040
709-36-3582|4102854273784720575|John|Smith|M|349 Eric Stravenue|Baton Rouge|LA|70815|30.4558|-91.0596|378909|Designer, interior/spatial|1992-02-10|173313285443|adults_2550_male_urban.json|c896f10fe2409253010973971386153d|2025-01-03|22:55:25|1735944925|personal_care|1062.32|1|fraud_Zulauf LLC|31.043451|-91.030870
709-36-3582|4102854273784720575|John|Smith|M|349 Eric Stravenue|Baton Rouge|LA|70815|30.4558|-91.0596|378909|Designer, interior/spatial|1992-02-10|173313285443|adults_2550_male_urban.json|bbb2e040c5545c9c9e88b191d87d0fa9|2025-01-03|23:25:17|1735946717|shopping_net|1150.36|1|fraud_Reichert, Rowe and Mraz|31.296315|-90.355505
