ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
817-62-1744|2575564176522874|Stephanie|Oneal|F|870 Smith Mission Suite 491|Upperco|MD|21155|39.5676|-76.7972|2371|Development worker, community|1954-10-25|411817944187|adults_50up_female_rural.json|696616ea62117e82f7966cb31ae402eb|2025-01-02|03:19:09|1735787949|grocery_pos|10.48|1|fraud_Schoen, Kuphal and Nitzsche|38.917656|-76.440172
817-62-1744|2575564176522874|Stephanie|Oneal|F|870 Smith Mission Suite 491|Upperco|MD|21155|39.5676|-76.7972|2371|Development worker, community|1954-10-25|411817944187|adults_50up_female_rural.json|911744322bd10ae3cc8755a5405257e4|2025-01-02|03:10:25|1735787425|grocery_net|316.38|1|fraud_Murray Ltd|39.367819|-77.048545
817-62-1744|2575564176522874|Stephanie|Oneal|F|870 Smith Mission Suite 491|Upperco|MD|21155|39.5676|-76.7972|2371|Development worker, community|1954-10-25|411817944187|adults_50up_female_rural.json|e6858cb4db80efba2f97235cea04a8c2|2025-01-02|03:26:28|1735788388|grocery_pos|297.61|1|fraud_Kutch and Sons|40.482761|-76.574457
817-62-1744|2575564176522874|Stephanie|Oneal|F|870 Smith Mission Suite 491|Upperco|MD|21155|39.5676|-76.7972|2371|Development worker, community|1954-10-25|411817944187|adults_50up_female_rural.json|37b5c15fd7cc4c1bfce4e8055d522b67|2025-01-02|16:41:59|1735836119|grocery_pos|366.16|1|fraud_Rau and Sons|39.835947|-76.134024
817-62-1744|2575564176522874|Stephanie|Oneal|F|870 Smith Mission Suite 491|Upperco|MD|21155|39.5676|-76.7972|2371|Development worker, community|1954-10-25|411817944187|adults_50up_female_rural.json|b19105efd19f01b03e65dfed3fa9ab54|2025-01-03|23:08:45|1735945725|shopping_pos|354.94|1|fraud_Pagac LLC|39.743821|-76.669175
817-62-1744|2575564176522874|Stephanie|Oneal|F|870 Smith Mission Suite 491|Upperco|MD|21155|39.5676|-76.7972|2371|Development worker, community|1954-10-25|411817944187|adults_50up_female_rural.json|46d5ecdf0f4025c0f168fdd3dae483ff|2025-01-03|23:31:34|1735947094|food_dining|345.83|1|fraud_Bahringer, Osinski and Block|39.789737|-77.214276
817-62-1744|2575564176522874|Stephanie|Oneal|F|870 Smith Mission Suite 491|Upperco|MD|21155|39.5676|-76.7972|2371|Development worker, community|1954-10-25|411817944187|adults_50up_female_rural.json|aeb1370c3748045b2f7a9cd7957929d6|2025-01-03|18:07:15|1735927635|shopping_net|324.53|1|fraud_Gottlieb, Considine and Schultz|40.414846|-77.568137
817-62-1744|2575564176522874|Stephanie|Oneal|F|870 Smith Mission Suite 491|Upperco|MD|21155|39.5676|-76.7972|2371|Development worker, community|1954-10-25|411817944187|adults_50up_female_rural.json|05501f482a4384bdd30f5481ccd229d8|2025-01-02|23:09:17|1735859357|grocery_pos|1061.11|1|fraud_Rau and Sons|40.379306|-77.728912
817-62-1744|2575564176522874|Stephanie|Oneal|F|870 Smith Mission Suite 491|Upperco|MD|21155|39.5676|-76.7972|2371|Development worker, community|1954-10-25|411817944187|adults_50up_female_rural.json|8d514794d94705feb917e90eb2249cf9|2025-01-02|22:47:03|1735858023|grocery_pos|1011.11|1|fraud_Barton Inc|40.222333|-77.035463
817-62-1744|2575564176522874|Stephanie|Oneal|F|870 Smith Mission Suite 491|Upperco|MD|21155|39.5676|-76.7972|2371|Development worker, community|1954-10-25|411817944187|adults_50up_female_rural.json|61131a9052d8cf4750676314f23765ff|2025-01-03|22:30:30|1735943430|shopping_pos|972.37|1|fraud_Botsford Ltd|40.218908|-76.870479
817-62-1744|2575564176522874|Stephanie|Oneal|F|870 Smith Mission Suite 491|Upperco|MD|21155|39.5676|-76.7972|2371|Development worker, community|1954-10-25|411817944187|adults_50up_female_rural.json|f031c5c646bcf2147602c325595d4506|2025-01-03|18:20:52|1735928452|entertainment|802.35|1|fraud_Padberg-Rogahn|39.352368|-76.046496
817-62-1744|2575564176522874|Stephanie|Oneal|F|870 Smith Mission Suite 491|Upperco|MD|21155|39.5676|-76.7972|2371|Development worker, community|1954-10-25|411817944187|adults_50up_female_rural.json|d8393e74eba3fcb99bea18e757a03187|2025-01-03|22:43:02|1735944182|shopping_pos|888.09|1|fraud_Daugherty, Pouros and Beahan|39.392918|-76.523019
817-62-1744|2575564176522874|Stephanie|Oneal|F|870 Smith Mission Suite 491|Upperco|MD|21155|39.5676|-76.7972|2371|Development worker, community|1954-10-25|411817944187|adults_50up_female_rural.json|f178ffdbcce48790d73f1fe16cfe12d3|2025-01-03|22:35:53|1735943753|shopping_net|607.90|1|fraud_Stanton, Jakubowski and Baumbach|38.663209|-77.227915
817-62-1744|2575564176522874|Stephanie|Oneal|F|870 Smith Mission Suite 491|Upperco|MD|21155|39.5676|-76.7972|2371|Development worker, community|1954-10-25|411817944187|adults_50up_female_rural.json|2e2f578249effd206de928dfa448bf25|2025-01-02|22:06:10|1735855570|grocery_pos|113.14|1|fraud_Heller, Gutmann and Zieme|39.608765|-77.728719
817-62-1744|2575564176522874|Stephanie|Oneal|F|870 Smith Mission Suite 491|Upperco|MD|21155|39.5676|-76.7972|2371|Development worker, community|1954-10-25|411817944187|adults_50up_female_rural.json|8e0690f91a191d1fa6bfa75a8f51f72d|2025-01-01|05:04:43|1735707883|misc_net|444.25|0|fraud_Koelpin and Sons|39.604760|-75.829369
074-82-9039|639079865916|Angela|Morgan|F|9001 Kathryn Ville Suite 029|Green Village|NJ|07935|40.7416|-74.4517|313|Control and instrumentation engineer|1974-07-29|510262929278|adults_50up_female_rural.json|b74e8dc9a60d3e73c77c87dfb73b7e62|2025-01-02|01:14:54|1735780494|gas_transport|15.42|1|fraud_Kutch LLC|39.947502|-73.854537
074-82-9039|639079865916|Angela|Morgan|F|9001 Kathryn Ville Suite 029|Green Village|NJ|07935|40.7416|-74.4517|313|Control and instrumentation engineer|1974-07-29|510262929278|adults_50up_female_rural.json|22bb982d97852828b9b0ecf1ec5abcf4|2025-01-02|00:20:46|1735777246|grocery_pos|322.17|1|fraud_Kiehn Inc|40.721544|-74.532570
074-82-9039|639079865916|Angela|Morgan|F|9001 Kathryn Ville Suite 029|Green Village|NJ|07935|40.7416|-74.4517|313|Control and instrumentation engineer|1974-07-29|510262929278|adults_50up_female_rural.json|0aa43bad735adb6cf3e200731122f16b|2025-01-02|03:18:25|1735787905|grocery_pos|344.34|1|fraud_Rutherford-Mertz|41.544177|-74.362754
074-82-9039|639079865916|Angela|Morgan|F|9001 Kathryn Ville Suite 029|Green Village|NJ|07935|40.7416|-74.4517|313|Control and instrumentation engineer|1974-07-29|510262929278|adults_50up_female_rural.json|8a0d4b41c59b4abb2bef50b3f1502bde|2025-01-03|21:23:12|1735939392|misc_net|1069.88|1|fraud_Herman, Treutel and Dickens|40.685684|-74.130619
659-34-0755|4271432281994639075|Debra|Wright|F|156 Donaldson Cove|Newton Hamilton|PA|17075|40.3931|-77.8316|123|Restaurant manager|1973-08-20|551553762924|adults_50up_female_rural.json|11431dccfa43e456a21bc2dae241a152|2025-01-02|05:18:07|1735795087|grocery_pos|19.10|1|fraud_Kiehn Inc|40.283062|-78.167447
659-34-0755|4271432281994639075|Debra|Wright|F|156 Donaldson Cove|Newton Hamilton|PA|17075|40.3931|-77.8316|123|Restaurant manager|1973-08-20|551553762924|adults_50up_female_rural.json|5b45fca3e01f1ab97861f942192bff1f|2025-01-02|07:47:26|1735804046|grocery_pos|321.71|1|fraud_Hackett-Lueilwitz|40.082241|-77.629288
659-34-0755|4271432281994639075|Debra|Wright|F|156 Donaldson Cove|Newton Hamilton|PA|17075|40.3931|-77.8316|123|Restaurant manager|1973-08-20|551553762924|adults_50up_female_rural.json|82392f24ac69a4e743f49b795f954710|2025-01-02|11:40:26|1735818026|grocery_pos|307.46|1|fraud_Lockman, West and Runte|41.336572|-77.646438
659-34-0755|4271432281994639075|Debra|Wright|F|156 Donaldson Cove|Newton Hamilton|PA|17075|40.3931|-77.8316|123|Restaurant manager|1973-08-20|551553762924|adults_50up_female_rural.json|0e8773518f8a15bef2c62885a21ca068|2025-01-02|00:10:05|1735776605|gas_transport|309.49|1|fraud_Huels-Hahn|39.663935|-77.717201
659-34-0755|4271432281994639075|Debra|Wright|F|156 Donaldson Cove|Newton Hamilton|PA|17075|40.3931|-77.8316|123|Restaurant manager|1973-08-20|551553762924|adults_50up_female_rural.json|478d9000b0b8bfe96cc82d97c40a5d20|2025-01-02|03:11:10|1735787470|grocery_pos|306.80|1|fraud_McDermott-Weimann|39.790442|-78.323584
659-34-0755|4271432281994639075|Debra|Wright|F|156 Donaldson Cove|Newton Hamilton|PA|17075|40.3931|-77.8316|123|Restaurant manager|1973-08-20|551553762924|adults_50up_female_rural.json|7c28373eaa0300bdfb3b116004476b02|2025-01-03|22:24:54|1735943094|misc_net|352.92|1|fraud_Stehr, Jewess and Schimmel|40.789914|-78.572779
659-34-0755|4271432281994639075|Debra|Wright|F|156 Donaldson Cove|Newton Hamilton|PA|17075|40.3931|-77.8316|123|Restaurant manager|1973-08-20|551553762924|adults_50up_female_rural.json|4865f181f5b90790f6fe0fb8efafb459|2025-01-03|23:13:06|1735945986|shopping_net|846.21|1|fraud_Bashirian Group|39.668789|-77.707467
659-34-0755|4271432281994639075|Debra|Wright|F|156 Donaldson Cove|Newton Hamilton|PA|17075|40.3931|-77.8316|123|Restaurant manager|1973-08-20|551553762924|adults_50up_female_rural.json|af46769d22ace81df6afd7f444a47a7f|2025-01-02|23:18:56|1735859936|grocery_pos|932.94|1|fraud_Hudson-Ratke|40.820413|-78.160350
