ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
818-02-2873|3582245512648180|Christine|Mcdonald|F|61436 Ramsey Street|Santa Clara|CA|95053|37.3498|-121.9378|115820|Proofreader|1966-05-01|836582817153|adults_50up_female_urban.json|868673280fccaf2efee0b9b0a6cef972|2025-01-02|00:52:55|1735779175|gas_transport|12.89|1|fraud_Conroy-Cruickshank|38.257097|-121.114404
818-02-2873|3582245512648180|Christine|Mcdonald|F|61436 Ramsey Street|Santa Clara|CA|95053|37.3498|-121.9378|115820|Proofreader|1966-05-01|836582817153|adults_50up_female_urban.json|9f96a0798d9fdd5d1bf4742e761ead7f|2025-01-02|03:33:54|1735788834|gas_transport|9.19|1|fraud_Erdman-Kertzmann|37.875758|-122.307177
818-02-2873|3582245512648180|Christine|Mcdonald|F|61436 Ramsey Street|Santa Clara|CA|95053|37.3498|-121.9378|115820|Proofreader|1966-05-01|836582817153|adults_50up_female_urban.json|df5dcf5d02d48367f3be451f52463324|2025-01-02|02:23:13|1735784593|grocery_pos|10.09|1|fraud_Kiehn Inc|36.867747|-122.432657
818-02-2873|3582245512648180|Christine|Mcdonald|F|61436 Ramsey Street|Santa Clara|CA|95053|37.3498|-121.9378|115820|Proofreader|1966-05-01|836582817153|adults_50up_female_urban.json|070a65b964f5c329d2fbbf758928b451|2025-01-02|02:02:11|1735783331|grocery_pos|310.94|1|fraud_Bauch-Raynor|37.706385|-121.210358
818-02-2873|3582245512648180|Christine|Mcdonald|F|61436 Ramsey Street|Santa Clara|CA|95053|37.3498|-121.9378|115820|Proofreader|1966-05-01|836582817153|adults_50up_female_urban.json|cc7caa5a16ca1199127d14cdfa845e2c|2025-01-02|00:45:17|1735778717|grocery_pos|333.47|1|fraud_DuBuque LLC|37.632275|-121.294064
818-02-2873|3582245512648180|Christine|Mcdonald|F|61436 Ramsey Street|Santa Clara|CA|95053|37.3498|-121.9378|115820|Proofreader|1966-05-01|836582817153|adults_50up_female_urban.json|93d221163e0494198fad94aaaee616c6|2025-01-02|09:53:24|1735811604|gas_transport|302.38|1|fraud_Sporer Inc|36.420618|-122.155583
818-02-2873|3582245512648180|Christine|Mcdonald|F|61436 Ramsey Street|Santa Clara|CA|95053|37.3498|-121.9378|115820|Proofreader|1966-05-01|836582817153|adults_50up_female_urban.json|5f4afa0f337769f2908f5105238401d7|2025-01-03|22:01:41|1735941701|shopping_pos|274.89|1|fraud_Quitzon, Green and Bashirian|37.285406|-122.092200
818-02-2873|3582245512648180|Christine|Mcdonald|F|61436 Ramsey Street|Santa Clara|CA|95053|37.3498|-121.9378|115820|Proofreader|1966-05-01|836582817153|adults_50up_female_urban.json|df157eb571f8f4880e43181133018c93|2025-01-03|23:58:33|1735948713|shopping_net|1050.80|1|fraud_Greenholt, O'Hara and Balistreri|36.427679|-121.279633
818-02-2873|3582245512648180|Christine|Mcdonald|F|61436 Ramsey Street|Santa Clara|CA|95053|37.3498|-121.9378|115820|Proofreader|1966-05-01|836582817153|adults_50up_female_urban.json|6a5666ab318f70b35dc9864276ae6985|2025-01-02|23:01:06|1735858866|grocery_pos|899.36|1|fraud_Schamberger-O'Keefe|37.486656|-121.171576
818-02-2873|3582245512648180|Christine|Mcdonald|F|61436 Ramsey Street|Santa Clara|CA|95053|37.3498|-121.9378|115820|Proofreader|1966-05-01|836582817153|adults_50up_female_urban.json|bb5eb4bcc3ae7eddc07f22138e0013fb|2025-01-01|05:26:01|1735709161|grocery_pos|73.98|0|fraud_Schamberger-O'Keefe|37.697219|-120.949589
818-02-2873|3582245512648180|Christine|Mcdonald|F|61436 Ramsey Street|Santa Clara|CA|95053|37.3498|-121.9378|115820|Proofreader|1966-05-01|836582817153|adults_50up_female_urban.json|a084ba44f98c627bbaf914bb92d16604|2025-01-01|03:51:51|1735703511|entertainment|8.46|0|fraud_Frami Group|37.964630|-122.092778
638-50-0512|4199770145650|Mary|Ramirez|F|79902 Castro Freeway|Los Angeles|CA|90010|34.0606|-118.3027|2383912|Designer, jewellery|1971-12-07|150943535483|adults_50up_female_urban.json|ea8a68d95eadfc5162209f4f705494a1|2025-01-02|03:16:12|1735787772|grocery_pos|12.11|1|fraud_Schultz, Simonis and Little|34.850647|-118.371588
638-50-0512|4199770145650|Mary|Ramirez|F|79902 Castro Freeway|Los Angeles|CA|90010|34.0606|-118.3027|2383912|Designer, jewellery|1971-12-07|150943535483|adults_50up_female_urban.json|92c2ca20b110879742f9b8a72885806a|2025-01-02|03:41:25|1735789285|gas_transport|267.87|1|fraud_Bartoletti-Wunsch|33.869156|-118.012927
638-50-0512|4199770145650|Mary|Ramirez|F|79902 Castro Freeway|Los Angeles|CA|90010|34.0606|-118.3027|2383912|Designer, jewellery|1971-12-07|150943535483|adults_50up_female_urban.json|1553d5328ec8345cd498138d24505807|2025-01-02|03:13:14|1735787594|grocery_pos|280.52|1|fraud_Osinski, Ledner and Leuschke|34.689321|-118.650362
638-50-0512|4199770145650|Mary|Ramirez|F|79902 Castro Freeway|Los Angeles|CA|90010|34.0606|-118.3027|2383912|Designer, jewellery|1971-12-07|150943535483|adults_50up_female_urban.json|d66bf43355ead437878aa5fd8591a2ba|2025-01-02|01:04:06|1735779846|grocery_pos|290.94|1|fraud_Mosciski, Gislason and Mertz|34.991286|-117.966625
638-50-0512|4199770145650|Mary|Ramirez|F|79902 Castro Freeway|Los Angeles|CA|90010|34.0606|-118.3027|2383912|Designer, jewellery|1971-12-07|150943535483|adults_50up_female_urban.json|61502cecadb772ba56fe48ce848b0da5|2025-01-03|23:58:48|1735948728|shopping_pos|285.96|1|fraud_Jast-McDermott|35.033954|-117.405998
