ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
659-69-3921|4706059565708455|Jerry|Townsend|M|3114 Hoffman Glen Apt. 939|Shamokin Dam|PA|17876|40.8459|-76.8224|1698|Surveyor, building control|1971-04-10|759697470372|adults_50up_male_rural.json|ee836fbc2e43a6b6cbf0833d8dd218c8|2025-01-02|02:49:55|1735786195|grocery_pos|327.70|1|fraud_Rau and Sons|40.803784|-77.014311
659-69-3921|4706059565708455|Jerry|Townsend|M|3114 Hoffman Glen Apt. 939|Shamokin Dam|PA|17876|40.8459|-76.8224|1698|Surveyor, building control|1971-04-10|759697470372|adults_50up_male_rural.json|3d9d9f02be3716a4f9764292bbcf6672|2025-01-02|03:49:19|1735789759|grocery_pos|330.00|1|fraud_Huel, Hammes and Witting|41.407591|-76.408398
659-69-3921|4706059565708455|Jerry|Townsend|M|3114 Hoffman Glen Apt. 939|Shamokin Dam|PA|17876|40.8459|-76.8224|1698|Surveyor, building control|1971-04-10|759697470372|adults_50up_male_rural.json|cc8e39e75fd9c0f963a39be21c3a5655|2025-01-03|22:10:02|1735942202|personal_care|313.12|1|fraud_Crooks and Sons|41.343451|-76.409303
659-69-3921|4706059565708455|Jerry|Townsend|M|3114 Hoffman Glen Apt. 939|Shamokin Dam|PA|17876|40.8459|-76.8224|1698|Surveyor, building control|1971-04-10|759697470372|adults_50up_male_rural.json|9b45fd8ed658438db06b67d7f6b34133|2025-01-03|12:48:07|1735908487|shopping_net|701.09|1|fraud_Medhurst PLC|41.103061|-77.372682
659-69-3921|4706059565708455|Jerry|Townsend|M|3114 Hoffman Glen Apt. 939|Shamokin Dam|PA|17876|40.8459|-76.8224|1698|Surveyor, building control|1971-04-10|759697470372|adults_50up_male_rural.json|413323ef9db9637ea73b01e66a8cdcfe|2025-01-02|23:37:53|1735861073|grocery_pos|1168.99|1|fraud_Bogisich Inc|40.929171|-77.662598
659-69-3921|4706059565708455|Jerry|Townsend|M|3114 Hoffman Glen Apt. 939|Shamokin Dam|PA|17876|40.8459|-76.8224|1698|Surveyor, building control|1971-04-10|759697470372|adults_50up_male_rural.json|798836298e7ac6859650c5e28bf3193f|2025-01-03|23:22:06|1735946526|shopping_pos|855.35|1|fraud_Baumbach, Hodkiewicz and Walsh|41.319980|-76.934365
659-69-3921|4706059565708455|Jerry|Townsend|M|3114 Hoffman Glen Apt. 939|Shamokin Dam|PA|17876|40.8459|-76.8224|1698|Surveyor, building control|1971-04-10|759697470372|adults_50up_male_rural.json|359ebb3bc7bfef03677d61df85862660|2025-01-03|23:51:45|1735948305|misc_net|935.54|1|fraud_Hayes, Marquardt and Dibbert|40.916835|-76.191220
659-69-3921|4706059565708455|Jerry|Townsend|M|3114 Hoffman Glen Apt. 939|Shamokin Dam|PA|17876|40.8459|-76.8224|1698|Surveyor, building control|1971-04-10|759697470372|adults_50up_male_rural.json|5f890f73f743fbf1afcd98c5765d5d4d|2025-01-03|18:54:08|1735930448|shopping_net|859.13|1|fraud_Kihn, Abernathy and Douglas|41.067486|-77.657593
659-69-3921|4706059565708455|Jerry|Townsend|M|3114 Hoffman Glen Apt. 939|Shamokin Dam|PA|17876|40.8459|-76.8224|1698|Surveyor, building control|1971-04-10|759697470372|adults_50up_male_rural.json|ccd6f6342c029fd89c2b8df33eb973b8|2025-01-03|19:23:06|1735932186|shopping_pos|48.24|1|fraud_Okuneva, Schneider and Rau|40.936785|-75.967550
721-22-5177|503854805432|Gary|Morgan|M|17579 Shirley Knoll Apt. 693|Marquez|TX|77865|31.2309|-96.2375|1798|Chief Marketing Officer|1963-07-07|457567913192|adults_50up_male_rural.json|0e9b7bfb9c4438f34b607ab711b97a2f|2025-01-02|01:02:16|1735779736|grocery_pos|17.47|1|fraud_Bogisich Inc|32.096150|-96.870410
