ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
431-17-5265|4797028123044380|William|Anderson|M|1285 Steven Ridge|Christmas|FL|32709|28.5462|-81.0116|2566|Engineer, aeronautical|1941-02-19|258714155599|adults_50up_male_urban.json|68afeb4959734e5a868700f588b0741e|2025-01-02|01:10:36|1735780236|gas_transport|10.59|1|fraud_Olson, Becker and Koch|27.814372|-80.347568
431-17-5265|4797028123044380|William|Anderson|M|1285 Steven Ridge|Christmas|FL|32709|28.5462|-81.0116|2566|Engineer, aeronautical|1941-02-19|258714155599|adults_50up_male_urban.json|daa62123a662b3fa31ff735fb64e7611|2025-01-02|23:02:29|1735858949|grocery_pos|272.33|1|fraud_Doyle Ltd|28.810714|-80.685589
431-17-5265|4797028123044380|William|Anderson|M|1285 Steven Ridge|Christmas|FL|32709|28.5462|-81.0116|2566|Engineer, aeronautical|1941-02-19|258714155599|adults_50up_male_urban.json|d2c104282fb872234f41571943d5ccea|2025-01-03|22:37:19|1735943839|shopping_net|828.36|1|fraud_Price Inc|29.272963|-81.103622
431-17-5265|4797028123044380|William|Anderson|M|1285 Steven Ridge|Christmas|FL|32709|28.5462|-81.0116|2566|Engineer, aeronautical|1941-02-19|258714155599|adults_50up_male_urban.json|0e02f5d9b030d400fd9fc57faabf0bce|2025-01-03|18:45:03|1735929903|shopping_net|977.53|1|fraud_Heathcote LLC|29.526950|-81.161245
431-17-5265|4797028123044380|William|Anderson|M|1285 Steven Ridge|Christmas|FL|32709|28.5462|-81.0116|2566|Engineer, aeronautical|1941-02-19|258714155599|adults_50up_male_urban.json|1f690bc5bdf473177120272d3311d64d|2025-01-03|23:11:15|1735945875|travel|1054.96|1|fraud_Fritsch LLC|29.444222|-81.844045
431-17-5265|4797028123044380|William|Anderson|M|1285 Steven Ridge|Christmas|FL|32709|28.5462|-81.0116|2566|Engineer, aeronautical|1941-02-19|258714155599|adults_50up_male_urban.json|66598bca4c3f17d74ab1d0fc8c2f39d5|2025-01-03|23:10:47|1735945847|entertainment|344.94|1|fraud_Cormier, Stracke and Thiel|27.795568|-80.193578
431-17-5265|4797028123044380|William|Anderson|M|1285 Steven Ridge|Christmas|FL|32709|28.5462|-81.0116|2566|Engineer, aeronautical|1941-02-19|258714155599|adults_50up_male_urban.json|a0259d365198b6678feda44ee895b6ec|2025-01-02|22:28:03|1735856883|misc_net|8.66|1|fraud_Rippin, Kub and Mann|28.203398|-81.896799
431-17-5265|4797028123044380|William|Anderson|M|1285 Steven Ridge|Christmas|FL|32709|28.5462|-81.0116|2566|Engineer, aeronautical|1941-02-19|258714155599|adults_50up_male_urban.json|560e5a9dc89b923262c30f571432556d|2025-01-01|11:14:39|1735730079|gas_transport|47.37|0|fraud_Raynor, Feest and Miller|29.499093|-81.673545
140-33-6024|5234825645927978|Dale|Russell|M|966 Beth Stream|River Falls|WI|54022|44.855|-92.6313|22358|Theatre director|1957-07-30|768609733579|adults_50up_male_urban.json|c817081def4cae46cd976f805dc87859|2025-01-02|01:46:53|1735782413|gas_transport|7.12|1|fraud_Harris Inc|44.356144|-91.936312
140-33-6024|5234825645927978|Dale|Russell|M|966 Beth Stream|River Falls|WI|54022|44.855|-92.6313|22358|Theatre director|1957-07-30|768609733579|adults_50up_male_urban.json|2c0db137d938d8281d536495107ac534|2025-01-02|00:39:26|1735778366|grocery_pos|291.05|1|fraud_Lockman Ltd|43.963185|-91.971477
140-33-6024|5234825645927978|Dale|Russell|M|966 Beth Stream|River Falls|WI|54022|44.855|-92.6313|22358|Theatre director|1957-07-30|768609733579|adults_50up_male_urban.json|f7de49c5d21650e74b295f2bc8528881|2025-01-02|03:46:16|1735789576|grocery_pos|307.38|1|fraud_Rutherford-Mertz|44.702181|-92.711027
140-33-6024|5234825645927978|Dale|Russell|M|966 Beth Stream|River Falls|WI|54022|44.855|-92.6313|22358|Theatre director|1957-07-30|768609733579|adults_50up_male_urban.json|f36be1777bdaecad65b32696d0d46c09|2025-01-03|18:01:04|1735927264|shopping_net|803.35|1|fraud_Cormier LLC|44.131899|-92.831511
140-33-6024|5234825645927978|Dale|Russell|M|966 Beth Stream|River Falls|WI|54022|44.855|-92.6313|22358|Theatre director|1957-07-30|768609733579|adults_50up_male_urban.json|01f5da8c1ee2760febcaa189e04ed12e|2025-01-03|22:13:28|1735942408|shopping_net|977.45|1|fraud_Gleason-Macejkovic|44.913637|-93.179076
140-33-6024|5234825645927978|Dale|Russell|M|966 Beth Stream|River Falls|WI|54022|44.855|-92.6313|22358|Theatre director|1957-07-30|768609733579|adults_50up_male_urban.json|bc392128c07d7eb63ab49308e2270246|2025-01-03|22:01:05|1735941665|shopping_net|1020.38|1|fraud_Langworth, Boehm and Gulgowski|45.273431|-92.747870
140-33-6024|5234825645927978|Dale|Russell|M|966 Beth Stream|River Falls|WI|54022|44.855|-92.6313|22358|Theatre director|1957-07-30|768609733579|adults_50up_male_urban.json|281922ba50b61221737f50dacfe16f44|2025-01-03|23:35:27|1735947327|misc_net|961.18|1|fraud_Miller-Harris|43.944534|-92.001598
140-33-6024|5234825645927978|Dale|Russell|M|966 Beth Stream|River Falls|WI|54022|44.855|-92.6313|22358|Theatre director|1957-07-30|768609733579|adults_50up_male_urban.json|4ac90b00c83eed0c0f83c5c36134bab1|2025-01-03|23:31:43|1735947103|shopping_pos|1004.93|1|fraud_Hudson-Grady|44.219423|-91.643420
140-33-6024|5234825645927978|Dale|Russell|M|966 Beth Stream|River Falls|WI|54022|44.855|-92.6313|22358|Theatre director|1957-07-30|768609733579|adults_50up_male_urban.json|b1fd91a661c7a0c599ecb308772c275d|2025-01-03|23:26:24|1735946784|shopping_pos|887.02|1|fraud_Bernhard, Grant and Langworth|44.579143|-91.706874
384-41-6469|4377136623400|Frank|Owens|M|89629 Bradley Knoll|Naugatuck|CT|06770|41.492|-73.0493|31975|Bookseller|1962-07-02|663016091919|adults_50up_male_urban.json|aef7748bf8b4370da8de96eeb7113f26|2025-01-02|01:53:17|1735782797|grocery_pos|288.60|1|fraud_Koepp-Parker|41.289221|-72.179892
384-41-6469|4377136623400|Frank|Owens|M|89629 Bradley Knoll|Naugatuck|CT|06770|41.492|-73.0493|31975|Bookseller|1962-07-02|663016091919|adults_50up_male_urban.json|7f79df01db0485f7c34ac6c00120c6f2|2025-01-02|09:00:57|1735808457|grocery_pos|301.17|1|fraud_Kunze Inc|42.471671|-72.867334
384-41-6469|4377136623400|Frank|Owens|M|89629 Bradley Knoll|Naugatuck|CT|06770|41.492|-73.0493|31975|Bookseller|1962-07-02|663016091919|adults_50up_male_urban.json|661ca06804d5bc898d2fa5f3256872f1|2025-01-02|00:23:08|1735777388|grocery_pos|261.18|1|fraud_Kiehn Inc|41.952914|-73.664011
384-41-6469|4377136623400|Frank|Owens|M|89629 Bradley Knoll|Naugatuck|CT|06770|41.492|-73.0493|31975|Bookseller|1962-07-02|663016091919|adults_50up_male_urban.json|b2eee9f8a273ad57a75d9f95bfc84cea|2025-01-03|23:00:34|1735945234|shopping_net|776.32|1|fraud_Stamm-Witting|40.513344|-72.960713
384-41-6469|4377136623400|Frank|Owens|M|89629 Bradley Knoll|Naugatuck|CT|06770|41.492|-73.0493|31975|Bookseller|1962-07-02|663016091919|adults_50up_male_urban.json|0f3a73179068672803bba2dff81bceff|2025-01-03|22:55:22|1735944922|shopping_pos|1028.48|1|fraud_Lynch Ltd|41.336772|-73.614775
384-41-6469|4377136623400|Frank|Owens|M|89629 Bradley Knoll|Naugatuck|CT|06770|41.492|-73.0493|31975|Bookseller|1962-07-02|663016091919|adults_50up_male_urban.json|c3d6e9f634c0e8dd2a1ef194cb4aa6d8|2025-01-03|22:58:08|1735945088|shopping_net|1162.15|1|fraud_Greenholt, O'Hara and Balistreri|41.101768|-73.129514
384-41-6469|4377136623400|Frank|Owens|M|89629 Bradley Knoll|Naugatuck|CT|06770|41.492|-73.0493|31975|Bookseller|1962-07-02|663016091919|adults_50up_male_urban.json|267f00c38f3f0a7816a2fbe8dd043633|2025-01-03|16:18:53|1735921133|misc_net|1085.85|1|fraud_McGlynn-Heathcote|41.928136|-73.308728
384-41-6469|4377136623400|Frank|Owens|M|89629 Bradley Knoll|Naugatuck|CT|06770|41.492|-73.0493|31975|Bookseller|1962-07-02|663016091919|adults_50up_male_urban.json|24787a0016d377d2994d18c03316d061|2025-01-03|23:04:19|1735945459|shopping_net|799.92|1|fraud_Cormier LLC|40.926046|-72.421748
384-41-6469|4377136623400|Frank|Owens|M|89629 Bradley Knoll|Naugatuck|CT|06770|41.492|-73.0493|31975|Bookseller|1962-07-02|663016091919|adults_50up_male_urban.json|79c6d21daf0968d20a3310a4c931ce0b|2025-01-03|23:11:37|1735945897|shopping_pos|1075.01|1|fraud_Barrows PLC|40.572631|-73.748717
657-69-8305|3516265214039539|Joseph|Roberts|M|04757 Kenneth Views Apt. 711|Bishop|CA|93514|37.5014|-118.4048|13857|Insurance claims handler|1957-07-15|297457645272|adults_50up_male_urban.json|35f8ab728f946e074cd496885e755285|2025-01-02|01:49:29|1735782569|gas_transport|7.65|1|fraud_Brekke and Sons|36.640370|-118.717598
657-69-8305|3516265214039539|Joseph|Roberts|M|04757 Kenneth Views Apt. 711|Bishop|CA|93514|37.5014|-118.4048|13857|Insurance claims handler|1957-07-15|297457645272|adults_50up_male_urban.json|827b62ae72e7fa6cd7f2c85f1e3847a9|2025-01-02|03:19:50|1735787990|grocery_pos|8.87|1|fraud_Pacocha-O'Reilly|36.998766|-117.549908
657-69-8305|3516265214039539|Joseph|Roberts|M|04757 Kenneth Views Apt. 711|Bishop|CA|93514|37.5014|-118.4048|13857|Insurance claims handler|1957-07-15|297457645272|adults_50up_male_urban.json|e58cd7d95726abf63cd61148a4582d60|2025-01-02|08:06:00|1735805160|gas_transport|272.85|1|fraud_Rodriguez Group|37.610497|-118.109051
