ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
312-39-1746|180078881909590|Amy|Torres|F|3676 Wendy Club|Mc Dermitt|NV|89421|41.9708|-117.6737|634|Dietitian|2000-06-29|23836050580|young_adults_female_rural.json|f0a4cf803d277ed1532b7a1861c36e08|2025-01-02|03:37:22|1735789042|grocery_pos|11.62|1|fraud_Bogisich Inc|41.428110|-117.194269
312-39-1746|180078881909590|Amy|Torres|F|3676 Wendy Club|Mc Dermitt|NV|89421|41.9708|-117.6737|634|Dietitian|2000-06-29|23836050580|young_adults_female_rural.json|64a2cff44e08a6ddef74d92e64453076|2025-01-02|02:16:37|1735784197|gas_transport|298.97|1|fraud_Huels-Hahn|42.079931|-118.125521
312-39-1746|180078881909590|Amy|Torres|F|3676 Wendy Club|Mc Dermitt|NV|89421|41.9708|-117.6737|634|Dietitian|2000-06-29|23836050580|young_adults_female_rural.json|362e04e0abde2ae2b5a8c3c603e79f7f|2025-01-03|22:59:22|1735945162|shopping_net|778.34|1|fraud_Mohr-Bayer|41.459794|-118.089084
312-39-1746|180078881909590|Amy|Torres|F|3676 Wendy Club|Mc Dermitt|NV|89421|41.9708|-117.6737|634|Dietitian|2000-06-29|23836050580|young_adults_female_rural.json|b0de2a0b73479256f369cce15aa986d6|2025-01-03|23:01:38|1735945298|shopping_net|911.45|1|fraud_Stanton, Jakubowski and Baumbach|41.036277|-117.177846
312-39-1746|180078881909590|Amy|Torres|F|3676 Wendy Club|Mc Dermitt|NV|89421|41.9708|-117.6737|634|Dietitian|2000-06-29|23836050580|young_adults_female_rural.json|937e21ff82a92b91473716a044df8dd0|2025-01-03|15:01:04|1735916464|misc_net|1041.82|1|fraud_Jaskolski-Vandervort|41.430501|-118.382342
312-39-1746|180078881909590|Amy|Torres|F|3676 Wendy Club|Mc Dermitt|NV|89421|41.9708|-117.6737|634|Dietitian|2000-06-29|23836050580|young_adults_female_rural.json|ca8cc09f7ddad8c5668b0ec0ba62f538|2025-01-03|18:10:03|1735927803|misc_net|980.50|1|fraud_Hayes, Marquardt and Dibbert|42.678966|-116.696847
312-39-1746|180078881909590|Amy|Torres|F|3676 Wendy Club|Mc Dermitt|NV|89421|41.9708|-117.6737|634|Dietitian|2000-06-29|23836050580|young_adults_female_rural.json|daa3b708fbccfb7e2379b1eabe9a6484|2025-01-01|06:39:44|1735713584|grocery_net|38.37|0|fraud_Bahringer-Larson|41.825572|-118.159674
312-39-1746|180078881909590|Amy|Torres|F|3676 Wendy Club|Mc Dermitt|NV|89421|41.9708|-117.6737|634|Dietitian|2000-06-29|23836050580|young_adults_female_rural.json|5cc2c72e37d6fec1241c3b14b9859432|2025-01-01|22:43:38|1735771418|misc_pos|161.90|0|fraud_Wiza, Schaden and Stark|41.994012|-118.251640
312-39-1746|180078881909590|Amy|Torres|F|3676 Wendy Club|Mc Dermitt|NV|89421|41.9708|-117.6737|634|Dietitian|2000-06-29|23836050580|young_adults_female_rural.json|ee6376918c2024ebff8cc36f6a005e07|2025-01-01|12:14:06|1735733646|misc_net|8.51|0|fraud_McGlynn-Heathcote|42.892818|-118.042409
202-35-0075|4816393988389928678|Holly|Pittman|F|08736 Ronald Union Apt. 492|Ransom|IL|60470|41.153|-88.6502|616|Surveyor, building|2000-03-25|913919992609|young_adults_female_rural.json|3a5c74f69c38a2293785d60aa41a7c78|2025-01-02|03:02:39|1735786959|gas_transport|8.11|1|fraud_Zieme, Bode and Dooley|41.713494|-89.485136
202-35-0075|4816393988389928678|Holly|Pittman|F|08736 Ronald Union Apt. 492|Ransom|IL|60470|41.153|-88.6502|616|Surveyor, building|2000-03-25|913919992609|young_adults_female_rural.json|650becd6f5174bda96315892004ef8db|2025-01-02|02:24:12|1735784652|grocery_pos|6.87|1|fraud_Stracke-Lemke|41.751952|-89.065128
202-35-0075|4816393988389928678|Holly|Pittman|F|08736 Ronald Union Apt. 492|Ransom|IL|60470|41.153|-88.6502|616|Surveyor, building|2000-03-25|913919992609|young_adults_female_rural.json|717acc7213f57919cc59db49f4e5b209|2025-01-02|03:16:37|1735787797|gas_transport|307.48|1|fraud_Erdman-Kertzmann|41.822213|-89.108789
202-35-0075|4816393988389928678|Holly|Pittman|F|08736 Ronald Union Apt. 492|Ransom|IL|60470|41.153|-88.6502|616|Surveyor, building|2000-03-25|913919992609|young_adults_female_rural.json|9c3ae4d2679ac312f8948fb70eb29a5d|2025-01-02|00:31:51|1735777911|grocery_pos|277.16|1|fraud_Lockman, West and Runte|41.039398|-89.566816
202-35-0075|4816393988389928678|Holly|Pittman|F|08736 Ronald Union Apt. 492|Ransom|IL|60470|41.153|-88.6502|616|Surveyor, building|2000-03-25|913919992609|young_adults_female_rural.json|7397199096b227fab88768ed95411772|2025-01-03|03:43:40|1735875820|grocery_pos|307.61|1|fraud_Stracke-Lemke|42.151998|-89.095370
202-35-0075|4816393988389928678|Holly|Pittman|F|08736 Ronald Union Apt. 492|Ransom|IL|60470|41.153|-88.6502|616|Surveyor, building|2000-03-25|913919992609|young_adults_female_rural.json|8c5c9f297238b6b914c1b57bbf4f4b5b|2025-01-02|01:19:46|1735780786|grocery_pos|299.08|1|fraud_Lockman Ltd|41.092804|-87.791628
202-35-0075|4816393988389928678|Holly|Pittman|F|08736 Ronald Union Apt. 492|Ransom|IL|60470|41.153|-88.6502|616|Surveyor, building|2000-03-25|913919992609|young_adults_female_rural.json|df19e407ca7c338fe56a4984db9c264c|2025-01-02|02:35:06|1735785306|grocery_pos|317.17|1|fraud_Wolf Inc|40.872432|-87.806875
202-35-0075|4816393988389928678|Holly|Pittman|F|08736 Ronald Union Apt. 492|Ransom|IL|60470|41.153|-88.6502|616|Surveyor, building|2000-03-25|913919992609|young_adults_female_rural.json|171202a5f3a9855cdec39dc6f84aace5|2025-01-03|19:32:57|1735932777|shopping_net|809.75|1|fraud_Little, Gutmann and Lynch|41.369243|-89.414070
202-35-0075|4816393988389928678|Holly|Pittman|F|08736 Ronald Union Apt. 492|Ransom|IL|60470|41.153|-88.6502|616|Surveyor, building|2000-03-25|913919992609|young_adults_female_rural.json|9a2605d96fad380ba3fa2427757e1716|2025-01-03|14:46:58|1735915618|misc_net|845.45|1|fraud_Dach-Nader|40.793332|-89.479566
202-35-0075|4816393988389928678|Holly|Pittman|F|08736 Ronald Union Apt. 492|Ransom|IL|60470|41.153|-88.6502|616|Surveyor, building|2000-03-25|913919992609|young_adults_female_rural.json|14a3d0db205e98b0c75e266c5a4d459a|2025-01-03|23:47:50|1735948070|misc_net|730.70|1|fraud_Jaskolski-Vandervort|40.521975|-88.231254
202-35-0075|4816393988389928678|Holly|Pittman|F|08736 Ronald Union Apt. 492|Ransom|IL|60470|41.153|-88.6502|616|Surveyor, building|2000-03-25|913919992609|young_adults_female_rural.json|e7949d2d683df4d83bec504fa27703bb|2025-01-03|23:44:52|1735947892|home|9.62|1|fraud_Pollich LLC|40.830313|-88.434107
202-35-0075|4816393988389928678|Holly|Pittman|F|08736 Ronald Union Apt. 492|Ransom|IL|60470|41.153|-88.6502|616|Surveyor, building|2000-03-25|913919992609|young_adults_female_rural.json|674de68c152ff204740cb693dcc5ce70|2025-01-03|23:33:00|1735947180|shopping_net|1048.15|1|fraud_Labadie, Treutel and Bode|41.816579|-88.757399
202-35-0075|4816393988389928678|Holly|Pittman|F|08736 Ronald Union Apt. 492|Ransom|IL|60470|41.153|-88.6502|616|Surveyor, building|2000-03-25|913919992609|young_adults_female_rural.json|d1e908a3c6ea3fe9f8d283c3e82d1ce1|2025-01-03|22:05:38|1735941938|shopping_net|948.74|1|fraud_Baumbach, Feeney and Morar|40.959208|-89.282132
202-35-0075|4816393988389928678|Holly|Pittman|F|08736 Ronald Union Apt. 492|Ransom|IL|60470|41.153|-88.6502|616|Surveyor, building|2000-03-25|913919992609|young_adults_female_rural.json|b86e513d052dbffbb0236fdf98731abf|2025-01-03|23:37:30|1735947450|shopping_net|908.21|1|fraud_Altenwerth, Cartwright and Koss|40.761193|-88.551431
202-35-0075|4816393988389928678|Holly|Pittman|F|08736 Ronald Union Apt. 492|Ransom|IL|60470|41.153|-88.6502|616|Surveyor, building|2000-03-25|913919992609|young_adults_female_rural.json|a989a59e5dbce9b5ddbfe5469c409dad|2025-01-03|23:00:48|1735945248|misc_pos|1123.30|1|fraud_Eichmann-Russel|41.671387|-88.691296
