ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
892-45-3211|4579050121407165|Linda|Lopez|F|3958 Curry Meadows Apt. 566|Milwaukee|WI|53204|43.0158|-87.9317|817312|Engineer, materials|2006-02-20|473080014698|young_adults_female_urban.json|817d953490fbf564ac4348619e3a8ed2|2025-01-03|03:24:02|1735874642|grocery_pos|9.05|1|fraud_Kutch and Sons|42.866168|-87.576170
892-45-3211|4579050121407165|Linda|Lopez|F|3958 Curry Meadows Apt. 566|Milwaukee|WI|53204|43.0158|-87.9317|817312|Engineer, materials|2006-02-20|473080014698|young_adults_female_urban.json|7db3a2875e2af95bbcf23af13ac15e10|2025-01-02|02:35:58|1735785358|grocery_net|305.30|1|fraud_Cassin-Harvey|43.428257|-88.787550
892-45-3211|4579050121407165|Linda|Lopez|F|3958 Curry Meadows Apt. 566|Milwaukee|WI|53204|43.0158|-87.9317|817312|Engineer, materials|2006-02-20|473080014698|young_adults_female_urban.json|9ac18e368fecbf93618de5064d3e9f7f|2025-01-02|03:19:07|1735787947|grocery_pos|302.81|1|fraud_Vandervort-Funk|43.377190|-87.253246
892-45-3211|4579050121407165|Linda|Lopez|F|3958 Curry Meadows Apt. 566|Milwaukee|WI|53204|43.0158|-87.9317|817312|Engineer, materials|2006-02-20|473080014698|young_adults_female_urban.json|94827e56996ebcbba184f57ea8da55d6|2025-01-03|23:24:25|1735946665|shopping_net|859.65|1|fraud_Reichert, Huels and Hoppe|42.030503|-87.506683
892-45-3211|4579050121407165|Linda|Lopez|F|3958 Curry Meadows Apt. 566|Milwaukee|WI|53204|43.0158|-87.9317|817312|Engineer, materials|2006-02-20|473080014698|young_adults_female_urban.json|8f0416e93bc0463b4e4dee59de5652e4|2025-01-03|20:08:52|1735934932|shopping_net|1088.99|1|fraud_Schmidt and Sons|43.437636|-88.254159
892-45-3211|4579050121407165|Linda|Lopez|F|3958 Curry Meadows Apt. 566|Milwaukee|WI|53204|43.0158|-87.9317|817312|Engineer, materials|2006-02-20|473080014698|young_adults_female_urban.json|b5abebdd5cefb3109298a170a423d760|2025-01-03|22:45:56|1735944356|shopping_net|1040.85|1|fraud_Price Inc|42.134206|-87.908146
892-45-3211|4579050121407165|Linda|Lopez|F|3958 Curry Meadows Apt. 566|Milwaukee|WI|53204|43.0158|-87.9317|817312|Engineer, materials|2006-02-20|473080014698|young_adults_female_urban.json|a0f045b3e895ab7df8149e699173c496|2025-01-03|23:38:20|1735947500|shopping_pos|1049.72|1|fraud_Pouros-Haag|43.071101|-88.500858
892-45-3211|4579050121407165|Linda|Lopez|F|3958 Curry Meadows Apt. 566|Milwaukee|WI|53204|43.0158|-87.9317|817312|Engineer, materials|2006-02-20|473080014698|young_adults_female_urban.json|99b8905a19274acead15f3afc766dc39|2025-01-03|19:23:14|1735932194|shopping_net|913.00|1|fraud_Greenholt, O'Hara and Balistreri|42.909129|-87.072326
892-45-3211|4579050121407165|Linda|Lopez|F|3958 Curry Meadows Apt. 566|Milwaukee|WI|53204|43.0158|-87.9317|817312|Engineer, materials|2006-02-20|473080014698|young_adults_female_urban.json|5d8e276d5fe022395172ed1b1b47e012|2025-01-03|20:52:29|1735937549|misc_net|1110.26|1|fraud_Welch Inc|42.207929|-87.592236
892-45-3211|4579050121407165|Linda|Lopez|F|3958 Curry Meadows Apt. 566|Milwaukee|WI|53204|43.0158|-87.9317|817312|Engineer, materials|2006-02-20|473080014698|young_adults_female_urban.json|6addff5756f99285f9f43f628def5ab8|2025-01-03|23:36:37|1735947397|shopping_net|844.27|1|fraud_Stanton, Jakubowski and Baumbach|42.291035|-88.224904
892-45-3211|4579050121407165|Linda|Lopez|F|3958 Curry Meadows Apt. 566|Milwaukee|WI|53204|43.0158|-87.9317|817312|Engineer, materials|2006-02-20|473080014698|young_adults_female_urban.json|844bfc17dec9b5f72063a0bcc4cfd29c|2025-01-01|06:04:35|1735711475|grocery_pos|70.15|0|fraud_Miller-Hauck|43.610668|-87.381325
892-45-3211|4579050121407165|Linda|Lopez|F|3958 Curry Meadows Apt. 566|Milwaukee|WI|53204|43.0158|-87.9317|817312|Engineer, materials|2006-02-20|473080014698|young_adults_female_urban.json|708260679f346fea213938485fa67e04|2025-01-01|22:57:55|1735772275|misc_net|1.63|0|fraud_Dach-Nader|43.589405|-87.250620
696-09-1829|3585697059827220|Elizabeth|Lopez|F|938 John Courts|Tempe|AZ|85281|33.4227|-111.9261|167311|Designer, jewellery|2001-02-17|738840912835|young_adults_female_urban.json|737c1ef96eeaf2aeb459e4ed9b2c5e66|2025-01-02|03:28:44|1735788524|gas_transport|8.34|1|fraud_Emard Inc|33.723606|-111.283144
696-09-1829|3585697059827220|Elizabeth|Lopez|F|938 John Courts|Tempe|AZ|85281|33.4227|-111.9261|167311|Designer, jewellery|2001-02-17|738840912835|young_adults_female_urban.json|ef330b7182e4572d9542d93e4b398307|2025-01-03|01:51:09|1735869069|misc_net|10.27|1|fraud_Zemlak Group|32.694412|-112.236889
696-09-1829|3585697059827220|Elizabeth|Lopez|F|938 John Courts|Tempe|AZ|85281|33.4227|-111.9261|167311|Designer, jewellery|2001-02-17|738840912835|young_adults_female_urban.json|b55fa1d61a025011bbf4b6005d538dbe|2025-01-03|00:52:19|1735865539|grocery_pos|7.85|1|fraud_Heidenreich PLC|33.037487|-111.934335
