ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
801-90-3463|4627945038511219|Joseph|Galvan|M|46563 King Hollow Suite 438|Cutler|ME|04626|44.6753|-67.2499|507|Scientist, biomedical|2002-12-03|77633688859|young_adults_male_rural.json|0bfe55034154ee47518d9b31819d8bbf|2025-01-02|02:34:37|1735785277|grocery_pos|273.16|1|fraud_Bailey-Morar|44.917931|-67.951576
801-90-3463|4627945038511219|Joseph|Galvan|M|46563 King Hollow Suite 438|Cutler|ME|04626|44.6753|-67.2499|507|Scientist, biomedical|2002-12-03|77633688859|young_adults_male_rural.json|0af6d4eccad2caa213a3325ca590753b|2025-01-02|07:49:54|1735804194|grocery_pos|283.61|1|fraud_Wolf Inc|44.189245|-67.857149
801-90-3463|4627945038511219|Joseph|Galvan|M|46563 King Hollow Suite 438|Cutler|ME|04626|44.6753|-67.2499|507|Scientist, biomedical|2002-12-03|77633688859|young_adults_male_rural.json|6dcf2f30f0016c05b9b644d0332a0df4|2025-01-02|01:18:02|1735780682|grocery_pos|278.16|1|fraud_Pacocha-O'Reilly|45.373363|-67.179262
801-90-3463|4627945038511219|Joseph|Galvan|M|46563 King Hollow Suite 438|Cutler|ME|04626|44.6753|-67.2499|507|Scientist, biomedical|2002-12-03|77633688859|young_adults_male_rural.json|228b30b4bd41d9705802db5ce6a4c961|2025-01-02|01:32:15|1735781535|grocery_pos|337.77|1|fraud_Moen, Reinger and Murphy|44.983447|-67.903745
801-90-3463|4627945038511219|Joseph|Galvan|M|46563 King Hollow Suite 438|Cutler|ME|04626|44.6753|-67.2499|507|Scientist, biomedical|2002-12-03|77633688859|young_adults_male_rural.json|6e72b83ca0af574fc94621d05ea47cc8|2025-01-03|23:13:56|1735946036|shopping_net|760.41|1|fraud_Schumm PLC|44.910873|-66.985028
801-90-3463|4627945038511219|Joseph|Galvan|M|46563 King Hollow Suite 438|Cutler|ME|04626|44.6753|-67.2499|507|Scientist, biomedical|2002-12-03|77633688859|young_adults_male_rural.json|79c6931e499c8e4a94b52adc880fb410|2025-01-03|14:17:45|1735913865|misc_net|1267.53|1|fraud_Dach-Nader|45.012965|-67.267962
801-90-3463|4627945038511219|Joseph|Galvan|M|46563 King Hollow Suite 438|Cutler|ME|04626|44.6753|-67.2499|507|Scientist, biomedical|2002-12-03|77633688859|young_adults_male_rural.json|8888396f3b08c4261d83250b3c9bf725|2025-01-03|22:05:00|1735941900|travel|1031.90|1|fraud_Kessler Inc|45.462044|-68.077645
801-90-3463|4627945038511219|Joseph|Galvan|M|46563 King Hollow Suite 438|Cutler|ME|04626|44.6753|-67.2499|507|Scientist, biomedical|2002-12-03|77633688859|young_adults_male_rural.json|b8f964c6a7e2f6aa4674fc0daeb013b4|2025-01-03|23:44:30|1735947870|personal_care|997.30|1|fraud_Shanahan-Lehner|44.431715|-66.576254
801-90-3463|4627945038511219|Joseph|Galvan|M|46563 King Hollow Suite 438|Cutler|ME|04626|44.6753|-67.2499|507|Scientist, biomedical|2002-12-03|77633688859|young_adults_male_rural.json|56f6c03c073bf866e83f831e04a02e94|2025-01-03|23:05:48|1735945548|shopping_net|1199.58|1|fraud_Rempel Inc|45.109978|-66.662677
801-90-3463|4627945038511219|Joseph|Galvan|M|46563 King Hollow Suite 438|Cutler|ME|04626|44.6753|-67.2499|507|Scientist, biomedical|2002-12-03|77633688859|young_adults_male_rural.json|8b020a4361897bcdcf1e8365e789a7dc|2025-01-03|23:21:40|1735946500|shopping_net|943.87|1|fraud_Zboncak, Rowe and Murazik|44.090768|-67.933319
