ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
076-65-4395|213122092172647|Michael|Fisher|M|472 Turner Spring|Hialeah|FL|33012|25.8654|-80.3059|347944|Interpreter|2004-09-28|155839690289|young_adults_male_urban.json|665d666364b6a149f34894819349197b|2025-01-03|08:59:14|1735894754|misc_net|13.32|1|fraud_Stehr, Jewess and Schimmel|26.157840|-79.548659
076-65-4395|213122092172647|Michael|Fisher|M|472 Turner Spring|Hialeah|FL|33012|25.8654|-80.3059|347944|Interpreter|2004-09-28|155839690289|young_adults_male_urban.json|63597a95e6996cadc5759a9b22f617b4|2025-01-02|07:50:07|1735804207|gas_transport|9.00|1|fraud_Erdman-Kertzmann|25.970682|-80.357456
076-65-4395|213122092172647|Michael|Fisher|M|472 Turner Spring|Hialeah|FL|33012|25.8654|-80.3059|347944|Interpreter|2004-09-28|155839690289|young_adults_male_urban.json|cd8ee67c3d494676757f8571a40f2637|2025-01-03|04:33:30|1735878810|grocery_pos|326.02|1|fraud_Lockman, West and Runte|25.107697|-80.628521
076-65-4395|213122092172647|Michael|Fisher|M|472 Turner Spring|Hialeah|FL|33012|25.8654|-80.3059|347944|Interpreter|2004-09-28|155839690289|young_adults_male_urban.json|2d6712e58b41106f1e1fd9d50231585e|2025-01-03|01:28:35|1735867715|misc_net|297.95|1|fraud_McGlynn-Heathcote|26.863540|-80.919949
076-65-4395|213122092172647|Michael|Fisher|M|472 Turner Spring|Hialeah|FL|33012|25.8654|-80.3059|347944|Interpreter|2004-09-28|155839690289|young_adults_male_urban.json|cf0f9071284ea78f4266169df297d8fe|2025-01-03|00:01:57|1735862517|grocery_pos|340.93|1|fraud_Goodwin-Nitzsche|25.211879|-79.514398
076-65-4395|213122092172647|Michael|Fisher|M|472 Turner Spring|Hialeah|FL|33012|25.8654|-80.3059|347944|Interpreter|2004-09-28|155839690289|young_adults_male_urban.json|6e774b1722a4e47fb893815ab4d9bb9d|2025-01-03|00:42:50|1735864970|misc_net|304.52|1|fraud_Kris-Weimann|26.412653|-81.001543
076-65-4395|213122092172647|Michael|Fisher|M|472 Turner Spring|Hialeah|FL|33012|25.8654|-80.3059|347944|Interpreter|2004-09-28|155839690289|young_adults_male_urban.json|d1c2ad6144240ce43442a51166f6ee75|2025-01-02|01:02:46|1735779766|grocery_net|698.74|1|fraud_Smitham-Boehm|26.342973|-79.539056
076-65-4395|213122092172647|Michael|Fisher|M|472 Turner Spring|Hialeah|FL|33012|25.8654|-80.3059|347944|Interpreter|2004-09-28|155839690289|young_adults_male_urban.json|8d1e6f7698bae3bfa10fadf5bd974f85|2025-01-03|03:41:38|1735875698|grocery_pos|847.54|1|fraud_Mosciski, Gislason and Mertz|25.713153|-80.062996
076-65-4395|213122092172647|Michael|Fisher|M|472 Turner Spring|Hialeah|FL|33012|25.8654|-80.3059|347944|Interpreter|2004-09-28|155839690289|young_adults_male_urban.json|7d502056520eb3495fc70372d900a047|2025-01-02|00:28:40|1735777720|grocery_pos|689.89|1|fraud_Strosin-Cruickshank|26.509721|-79.466336
076-65-4395|213122092172647|Michael|Fisher|M|472 Turner Spring|Hialeah|FL|33012|25.8654|-80.3059|347944|Interpreter|2004-09-28|155839690289|young_adults_male_urban.json|5f3d4dfb49095b10eb2d04e4dc07dabe|2025-01-03|14:15:16|1735913716|shopping_net|915.53|1|fraud_Medhurst PLC|26.336580|-79.506794
