ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
620-27-5618|4874016400529|Mandy|Green|F|680 Charles Spurs Apt. 805|Brooklyn|NY|11223|40.5979|-73.9743|2504700|Television floor manager|1999-08-02|161286867170|adults_2550_female_urban.json|7bf90e7f98a8be2dffa70481815505a0|2025-01-03|01:25:39|1735867539|entertainment|13.61|1|fraud_Bauch-Blanda|40.771118|-73.139852
620-27-5618|4874016400529|Mandy|Green|F|680 Charles Spurs Apt. 805|Brooklyn|NY|11223|40.5979|-73.9743|2504700|Television floor manager|1999-08-02|161286867170|adults_2550_female_urban.json|0a0a8c191041751540ff7131915d14af|2025-01-03|00:08:07|1735862887|shopping_pos|338.23|1|fraud_Willms, Kris and Bergnaum|41.146633|-73.281338
620-27-5618|4874016400529|Mandy|Green|F|680 Charles Spurs Apt. 805|Brooklyn|NY|11223|40.5979|-73.9743|2504700|Television floor manager|1999-08-02|161286867170|adults_2550_female_urban.json|50bf6dca36c06b830b73593b2c3e969e|2025-01-02|05:33:41|1735796021|grocery_pos|868.25|1|fraud_Goodwin-Nitzsche|41.319239|-73.053182
620-27-5618|4874016400529|Mandy|Green|F|680 Charles Spurs Apt. 805|Brooklyn|NY|11223|40.5979|-73.9743|2504700|Television floor manager|1999-08-02|161286867170|adults_2550_female_urban.json|7c699d9c5f83e30d64e0e6b9216bcf93|2025-01-02|10:23:16|1735813396|shopping_pos|879.76|1|fraud_Pouros-Haag|40.345082|-73.090454
620-27-5618|4874016400529|Mandy|Green|F|680 Charles Spurs Apt. 805|Brooklyn|NY|11223|40.5979|-73.9743|2504700|Television floor manager|1999-08-02|161286867170|adults_2550_female_urban.json|986dd58d051db8a6fed5f19f046ab6cf|2025-01-02|01:50:45|1735782645|grocery_net|820.36|1|fraud_Ferry, Reichel and DuBuque|40.389091|-74.772236
620-27-5618|4874016400529|Mandy|Green|F|680 Charles Spurs Apt. 805|Brooklyn|NY|11223|40.5979|-73.9743|2504700|Television floor manager|1999-08-02|161286867170|adults_2550_female_urban.json|31e4b35eaf573f571160725de93a9653|2025-01-03|03:52:07|1735876327|shopping_pos|583.33|1|fraud_Kihn Inc|40.201430|-74.701397
620-27-5618|4874016400529|Mandy|Green|F|680 Charles Spurs Apt. 805|Brooklyn|NY|11223|40.5979|-73.9743|2504700|Television floor manager|1999-08-02|161286867170|adults_2550_female_urban.json|1b36b662445b4b6b997942b5a11d5bc0|2025-01-03|00:41:08|1735864868|food_dining|136.47|1|fraud_Kihn-Fritsch|39.912908|-73.076913
620-27-5618|4874016400529|Mandy|Green|F|680 Charles Spurs Apt. 805|Brooklyn|NY|11223|40.5979|-73.9743|2504700|Television floor manager|1999-08-02|161286867170|adults_2550_female_urban.json|c4c18e16ea7043f9d11517ce5fb9d1a6|2025-01-03|23:50:11|1735948211|personal_care|19.05|1|fraud_Friesen-Ortiz|41.181585|-73.052976
620-27-5618|4874016400529|Mandy|Green|F|680 Charles Spurs Apt. 805|Brooklyn|NY|11223|40.5979|-73.9743|2504700|Television floor manager|1999-08-02|161286867170|adults_2550_female_urban.json|e805c7c35b23a830d8b74628d5a1af45|2025-01-03|23:50:37|1735948237|home|215.63|1|fraud_White and Sons|40.896261|-74.625895
620-27-5618|4874016400529|Mandy|Green|F|680 Charles Spurs Apt. 805|Brooklyn|NY|11223|40.5979|-73.9743|2504700|Television floor manager|1999-08-02|161286867170|adults_2550_female_urban.json|0b1e3516e7b3930b45d43032d4ba9a6c|2025-01-03|23:09:56|1735945796|health_fitness|268.07|1|fraud_Kub-Heaney|41.535386|-73.587179
620-27-5618|4874016400529|Mandy|Green|F|680 Charles Spurs Apt. 805|Brooklyn|NY|11223|40.5979|-73.9743|2504700|Television floor manager|1999-08-02|161286867170|adults_2550_female_urban.json|f2b9e8ef8f47d57d7e24112d7139bccf|2025-01-03|19:32:28|1735932748|home|18.28|1|fraud_Quitzon-Goyette|41.455590|-73.400316
620-27-5618|4874016400529|Mandy|Green|F|680 Charles Spurs Apt. 805|Brooklyn|NY|11223|40.5979|-73.9743|2504700|Television floor manager|1999-08-02|161286867170|adults_2550_female_urban.json|c430d85a4d81c523241b97d6c3ce1e6d|2025-01-01|05:53:02|1735710782|grocery_net|117.12|0|fraud_Bernier, Streich and Jewess|41.055562|-73.076724
620-27-5618|4874016400529|Mandy|Green|F|680 Charles Spurs Apt. 805|Brooklyn|NY|11223|40.5979|-73.9743|2504700|Television floor manager|1999-08-02|161286867170|adults_2550_female_urban.json|7cda3d146a6db6b5d1f7c3216d300146|2025-01-01|20:32:53|1735763573|shopping_pos|11.50|0|fraud_Weimann, Kuhic and Beahan|41.439976|-73.039237
507-52-3998|4163287083172781|Victoria|Larson|F|868 Merritt Summit Suite 743|San Antonio|TX|78222|29.3831|-98.396|1595797|Health and safety inspector|2000-01-23|857987636625|adults_2550_female_urban.json|52eed7e205a84c2e31c4450042c1e924|2025-01-03|02:24:21|1735871061|shopping_pos|8.93|1|fraud_Denesik and Sons|29.661305|-97.622693
507-52-3998|4163287083172781|Victoria|Larson|F|868 Merritt Summit Suite 743|San Antonio|TX|78222|29.3831|-98.396|1595797|Health and safety inspector|2000-01-23|857987636625|adults_2550_female_urban.json|dbfeabdd7670d711d94fc1841b1a835c|2025-01-02|01:08:46|1735780126|misc_pos|850.45|1|fraud_McCullough LLC|29.276360|-98.865575
507-52-3998|4163287083172781|Victoria|Larson|F|868 Merritt Summit Suite 743|San Antonio|TX|78222|29.3831|-98.396|1595797|Health and safety inspector|2000-01-23|857987636625|adults_2550_female_urban.json|95ebc327de18cb6039ace7bc773b4060|2025-01-02|00:18:01|1735777081|shopping_net|727.30|1|fraud_Gleason-Macejkovic|28.882182|-99.260410
507-52-3998|4163287083172781|Victoria|Larson|F|868 Merritt Summit Suite 743|San Antonio|TX|78222|29.3831|-98.396|1595797|Health and safety inspector|2000-01-23|857987636625|adults_2550_female_urban.json|77d911e3721f4c50a81ff1928960085f|2025-01-03|03:20:11|1735874411|entertainment|565.35|1|fraud_Thiel-Thiel|28.896416|-99.179931
507-52-3998|4163287083172781|Victoria|Larson|F|868 Merritt Summit Suite 743|San Antonio|TX|78222|29.3831|-98.396|1595797|Health and safety inspector|2000-01-23|857987636625|adults_2550_female_urban.json|609b0c47e0f582365666f9233495227b|2025-01-03|23:30:34|1735947034|home|217.98|1|fraud_Kutch-Ferry|28.385662|-98.624126
507-52-3998|4163287083172781|Victoria|Larson|F|868 Merritt Summit Suite 743|San Antonio|TX|78222|29.3831|-98.396|1595797|Health and safety inspector|2000-01-23|857987636625|adults_2550_female_urban.json|b7b8474a90d8f83e78fc03409a54921a|2025-01-03|23:12:25|1735945945|kids_pets|20.54|1|fraud_Waelchi-Wolf|29.848269|-97.457796
507-52-3998|4163287083172781|Victoria|Larson|F|868 Merritt Summit Suite 743|San Antonio|TX|78222|29.3831|-98.396|1595797|Health and safety inspector|2000-01-23|857987636625|adults_2550_female_urban.json|eb57428c7d4da4a5fe580c0243523fe6|2025-01-03|22:01:12|1735941672|kids_pets|19.91|1|fraud_Ullrich Ltd|30.152204|-98.409836
507-52-3998|4163287083172781|Victoria|Larson|F|868 Merritt Summit Suite 743|San Antonio|TX|78222|29.3831|-98.396|1595797|Health and safety inspector|2000-01-23|857987636625|adults_2550_female_urban.json|afb66e9aaa54ecf22dfcb8958ad46893|2025-01-03|23:19:33|1735946373|kids_pets|18.52|1|fraud_Ruecker-Mayert|29.140525|-98.303952
507-52-3998|4163287083172781|Victoria|Larson|F|868 Merritt Summit Suite 743|San Antonio|TX|78222|29.3831|-98.396|1595797|Health and safety inspector|2000-01-23|857987636625|adults_2550_female_urban.json|e093dea8afa630848a72c7e89b8fef8d|2025-01-03|23:59:41|1735948781|personal_care|20.28|1|fraud_Shanahan-Lehner|28.585957|-98.437021
