ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Home|PA|15747|40.7834|-79.1641|2027|Retail buyer|1990-08-23|940251608167|adults_2550_male_rural.json|03e2280a8e3fa0228a193e4d1721c173|2025-01-02|00:37:47|1735778267|gas_transport|12.70|1|fraud_Kling Inc|41.721604|-78.394996
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Home|PA|15747|40.7834|-79.1641|2027|Retail buyer|1990-08-23|940251608167|adults_2550_male_rural.json|c4ff20b3096ef589a7baf56646eebc6b|2025-01-02|00:28:41|1735777721|gas_transport|8.87|1|fraud_Friesen-Stamm|40.769564|-79.406675
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Home|PA|15747|40.7834|-79.1641|2027|Retail buyer|1990-08-23|940251608167|adults_2550_male_rural.json|0c2975ade557ffe48d3548a1700d7c02|2025-01-02|00:22:17|1735777337|grocery_pos|289.69|1|fraud_Lockman, West and Runte|40.875448|-79.961243
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Home|PA|15747|40.7834|-79.1641|2027|Retail buyer|1990-08-23|940251608167|adults_2550_male_rural.json|b435594df8de2588cbe83d2950462e9d|2025-01-03|23:43:42|1735947822|shopping_net|830.37|1|fraud_Boyer-Reichert|40.742379|-78.435999
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Home|PA|15747|40.7834|-79.1641|2027|Retail buyer|1990-08-23|940251608167|adults_2550_male_rural.json|84d6a04c168639848314a7fe2dec16a1|2025-01-03|22:13:13|1735942393|misc_pos|717.76|1|fraud_Block Group|41.085339|-78.789779
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Home|PA|15747|40.7834|-79.1641|2027|Retail buyer|1990-08-23|940251608167|adults_2550_male_rural.json|80a7063506bc4bd270dbb64209262e65|2025-01-03|22:22:35|1735942955|personal_care|6.49|1|fraud_Rolfson-Kunde|40.108713|-80.016681
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Home|PA|15747|40.7834|-79.1641|2027|Retail buyer|1990-08-23|940251608167|adults_2550_male_rural.json|30866827a6658dac01876bd451ad8de5|2025-01-03|22:10:59|1735942259|shopping_net|992.35|1|fraud_Labadie, Treutel and Bode|41.474925|-79.574283
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Home|PA|15747|40.7834|-79.1641|2027|Retail buyer|1990-08-23|940251608167|adults_2550_male_rural.json|ae7563e8dfc7e2fa1001e49f871bb12d|2025-01-02|23:10:16|1735859416|misc_net|880.85|1|fraud_Kerluke, Kertzmann and Wiza|40.420834|-78.260776
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Home|PA|15747|40.7834|-79.1641|2027|Retail buyer|1990-08-23|940251608167|adults_2550_male_rural.json|097fdc31413fd1152daf49911432a77c|2025-01-02|22:49:02|1735858142|misc_net|886.50|1|fraud_Nader-Heller|39.931801|-79.823890
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Home|PA|15747|40.7834|-79.1641|2027|Retail buyer|1990-08-23|940251608167|adults_2550_male_rural.json|b8faeb6163302d020c70540793272728|2025-01-03|23:46:04|1735947964|shopping_net|966.48|1|fraud_Mohr-Bayer|40.534316|-78.700130
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Home|PA|15747|40.7834|-79.1641|2027|Retail buyer|1990-08-23|940251608167|adults_2550_male_rural.json|4ff61fba46b572c5b1348332dbaf1cf7|2025-01-03|22:38:03|1735943883|shopping_net|20.11|1|fraud_Mohr-Bayer|40.877493|-78.367852
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Home|PA|15747|40.7834|-79.1641|2027|Retail buyer|1990-08-23|940251608167|adults_2550_male_rural.json|6dbb3134c3a3f38262e65ed4a7bd03da|2025-01-01|18:46:48|1735757208|shopping_pos|140.15|0|fraud_Pagac LLC|39.845386|-78.279215
