ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
320-44-7461|4571775140102|Samuel|Wong|M|382 Mark Meadow|Tempe|AZ|85283|33.3665|-111.9312|167311|Psychologist, counselling|1999-11-07|877169140360|adults_2550_male_urban.json|480dce5920a6fc371d604cc03dcd1a48|2025-01-02|00:14:56|1735776896|misc_net|276.00|1|fraud_Bogisich-Homenick|32.504353|-112.001012
320-44-7461|4571775140102|Samuel|Wong|M|382 Mark Meadow|Tempe|AZ|85283|33.3665|-111.9312|167311|Psychologist, counselling|1999-11-07|877169140360|adults_2550_male_urban.json|096dd66c15ee589418b9d57be881206c|2025-01-02|00:11:10|1735776670|grocery_pos|302.50|1|fraud_Schumm, Bauch and Ondricka|32.931114|-111.241507
320-44-7461|4571775140102|Samuel|Wong|M|382 Mark Meadow|Tempe|AZ|85283|33.3665|-111.9312|167311|Psychologist, counselling|1999-11-07|877169140360|adults_2550_male_urban.json|93c6617acd74fa328dfd7b9fb0b1e93c|2025-01-02|03:31:59|1735788719|grocery_pos|302.19|1|fraud_Barton Inc|33.021102|-111.825017
320-44-7461|4571775140102|Samuel|Wong|M|382 Mark Meadow|Tempe|AZ|85283|33.3665|-111.9312|167311|Psychologist, counselling|1999-11-07|877169140360|adults_2550_male_urban.json|b9e5c0858d1200f6147eaf2e3301601b|2025-01-02|01:23:41|1735781021|grocery_pos|794.97|1|fraud_Schumm, Bauch and Ondricka|32.382438|-112.529858
320-44-7461|4571775140102|Samuel|Wong|M|382 Mark Meadow|Tempe|AZ|85283|33.3665|-111.9312|167311|Psychologist, counselling|1999-11-07|877169140360|adults_2550_male_urban.json|1ea0edeaf51666e7fb0348307456db4a|2025-01-02|00:08:24|1735776504|misc_net|726.70|1|fraud_Bogisich-Homenick|33.494113|-112.323381
320-44-7461|4571775140102|Samuel|Wong|M|382 Mark Meadow|Tempe|AZ|85283|33.3665|-111.9312|167311|Psychologist, counselling|1999-11-07|877169140360|adults_2550_male_urban.json|aba7cf1b03c679c8583cde8e8d16e081|2025-01-03|23:18:35|1735946315|misc_pos|8.55|1|fraud_Turcotte-Halvorson|33.611935|-112.003347
320-44-7461|4571775140102|Samuel|Wong|M|382 Mark Meadow|Tempe|AZ|85283|33.3665|-111.9312|167311|Psychologist, counselling|1999-11-07|877169140360|adults_2550_male_urban.json|9ed41104b280801c28743d16f504f183|2025-01-03|23:28:58|1735946938|home|893.41|1|fraud_Berge-Ullrich|33.549882|-111.944479
320-44-7461|4571775140102|Samuel|Wong|M|382 Mark Meadow|Tempe|AZ|85283|33.3665|-111.9312|167311|Psychologist, counselling|1999-11-07|877169140360|adults_2550_male_urban.json|fe1a26b8d4d6d904c823eddbde649479|2025-01-03|23:42:37|1735947757|shopping_net|227.44|1|fraud_Kihn, Abernathy and Douglas|33.911727|-112.540355
320-44-7461|4571775140102|Samuel|Wong|M|382 Mark Meadow|Tempe|AZ|85283|33.3665|-111.9312|167311|Psychologist, counselling|1999-11-07|877169140360|adults_2550_male_urban.json|7667319a6c0b606d2076fbc92fcd19e9|2025-01-01|02:25:48|1735698348|misc_net|66.43|0|fraud_Kuhn LLC|32.832495|-112.238353
320-44-7461|4571775140102|Samuel|Wong|M|382 Mark Meadow|Tempe|AZ|85283|33.3665|-111.9312|167311|Psychologist, counselling|1999-11-07|877169140360|adults_2550_male_urban.json|f415622df6f7dcb3c145e84675212410|2025-01-01|08:31:13|1735720273|grocery_pos|477.51|0|fraud_Heidenreich PLC|34.045648|-111.176803
612-50-6432|3555792499125131|Eric|White|M|669 Bailey Manors|Philadelphia|PA|19124|40.0178|-75.0895|1526206|Electronics engineer|1996-08-30|697874934613|adults_2550_male_urban.json|33087a4aa140d67816a2dd30c93ed794|2025-01-02|03:57:59|1735790279|gas_transport|9.39|1|fraud_Olson, Becker and Koch|39.762784|-74.140390
612-50-6432|3555792499125131|Eric|White|M|669 Bailey Manors|Philadelphia|PA|19124|40.0178|-75.0895|1526206|Electronics engineer|1996-08-30|697874934613|adults_2550_male_urban.json|6ed690531eb5734a23d52794efa327d6|2025-01-02|02:01:05|1735783265|misc_net|6.21|1|fraud_Jaskolski-Vandervort|39.187605|-75.898346
612-50-6432|3555792499125131|Eric|White|M|669 Bailey Manors|Philadelphia|PA|19124|40.0178|-75.0895|1526206|Electronics engineer|1996-08-30|697874934613|adults_2550_male_urban.json|9a62f809a69cc3404809cde23fcd9f7e|2025-01-02|02:00:45|1735783245|grocery_net|7.95|1|fraud_Ortiz Group|39.284828|-74.449574
612-50-6432|3555792499125131|Eric|White|M|669 Bailey Manors|Philadelphia|PA|19124|40.0178|-75.0895|1526206|Electronics engineer|1996-08-30|697874934613|adults_2550_male_urban.json|89f5a0579b0036021a7daa763b5f5faf|2025-01-03|02:00:38|1735869638|misc_net|301.74|1|fraud_Nader-Heller|39.167461|-74.953859
612-50-6432|3555792499125131|Eric|White|M|669 Bailey Manors|Philadelphia|PA|19124|40.0178|-75.0895|1526206|Electronics engineer|1996-08-30|697874934613|adults_2550_male_urban.json|4e160e303a1f9b4542947dd4b7e5a053|2025-01-02|01:30:20|1735781420|gas_transport|288.97|1|fraud_Parisian and Sons|39.887766|-74.161063
612-50-6432|3555792499125131|Eric|White|M|669 Bailey Manors|Philadelphia|PA|19124|40.0178|-75.0895|1526206|Electronics engineer|1996-08-30|697874934613|adults_2550_male_urban.json|956f73e2d968b015f052dd898622656f|2025-01-02|03:36:30|1735788990|misc_net|725.65|1|fraud_Bernier, Volkman and Hoeger|39.491343|-75.567518
612-50-6432|3555792499125131|Eric|White|M|669 Bailey Manors|Philadelphia|PA|19124|40.0178|-75.0895|1526206|Electronics engineer|1996-08-30|697874934613|adults_2550_male_urban.json|739fb1e0b6f6f5b3fd37961fe4ff26ea|2025-01-02|03:15:59|1735787759|grocery_pos|744.75|1|fraud_Kuhic Inc|39.647818|-74.487866
612-50-6432|3555792499125131|Eric|White|M|669 Bailey Manors|Philadelphia|PA|19124|40.0178|-75.0895|1526206|Electronics engineer|1996-08-30|697874934613|adults_2550_male_urban.json|17eaff204b69a826b91ef566799088ac|2025-01-02|00:54:39|1735779279|grocery_pos|829.33|1|fraud_Lockman, West and Runte|40.419251|-74.618794
612-50-6432|3555792499125131|Eric|White|M|669 Bailey Manors|Philadelphia|PA|19124|40.0178|-75.0895|1526206|Electronics engineer|1996-08-30|697874934613|adults_2550_male_urban.json|d4d9083b33260602969776f04476add3|2025-01-03|23:57:11|1735948631|shopping_net|912.29|1|fraud_Kuhic, Bins and Pfeffer|39.653915|-75.545588
612-50-6432|3555792499125131|Eric|White|M|669 Bailey Manors|Philadelphia|PA|19124|40.0178|-75.0895|1526206|Electronics engineer|1996-08-30|697874934613|adults_2550_male_urban.json|d77857f39feea10d5db158c1657178e5|2025-01-03|23:20:51|1735946451|shopping_net|863.30|1|fraud_Fisher-Schowalter|39.167175|-75.684075
612-50-6432|3555792499125131|Eric|White|M|669 Bailey Manors|Philadelphia|PA|19124|40.0178|-75.0895|1526206|Electronics engineer|1996-08-30|697874934613|adults_2550_male_urban.json|ce32ff7dcf6aaba415105579bcfab78f|2025-01-03|22:00:12|1735941612|shopping_net|964.98|1|fraud_Schmidt and Sons|40.577674|-74.920084
612-50-6432|3555792499125131|Eric|White|M|669 Bailey Manors|Philadelphia|PA|19124|40.0178|-75.0895|1526206|Electronics engineer|1996-08-30|697874934613|adults_2550_male_urban.json|4121826b7bd13d0606d2001f3dee6746|2025-01-01|17:07:15|1735751235|shopping_net|11.31|0|fraud_Stamm-Witting|39.433072|-75.472885
715-46-1038|180036374545891|Carlos|Phelps|M|001 Smith Walks Apt. 770|La Puente|CA|91746|34.0443|-117.9862|115525|Phytotherapist|1994-08-06|999389892260|adults_2550_male_urban.json|29559e714313b77bc0319cb144d5b1a8|2025-01-03|02:26:15|1735871175|misc_net|298.61|1|fraud_Parisian, Schiller and Altenwerth|33.564634|-117.004847
715-46-1038|180036374545891|Carlos|Phelps|M|001 Smith Walks Apt. 770|La Puente|CA|91746|34.0443|-117.9862|115525|Phytotherapist|1994-08-06|999389892260|adults_2550_male_urban.json|1e5916ef9e3c1cc27e314265efd90569|2025-01-02|03:15:59|1735787759|grocery_pos|247.49|1|fraud_Strosin-Cruickshank|33.106464|-118.177416
715-46-1038|180036374545891|Carlos|Phelps|M|001 Smith Walks Apt. 770|La Puente|CA|91746|34.0443|-117.9862|115525|Phytotherapist|1994-08-06|999389892260|adults_2550_male_urban.json|f115b49e733e30b8308c78d7590932b7|2025-01-02|01:53:20|1735782800|grocery_pos|266.10|1|fraud_Heller, Gutmann and Zieme|33.948702|-117.490043
715-46-1038|180036374545891|Carlos|Phelps|M|001 Smith Walks Apt. 770|La Puente|CA|91746|34.0443|-117.9862|115525|Phytotherapist|1994-08-06|999389892260|adults_2550_male_urban.json|555857c3c8ea71f70ed442a0665e457b|2025-01-02|00:19:48|1735777188|grocery_pos|660.24|1|fraud_Koepp-Witting|33.544005|-118.062114
715-46-1038|180036374545891|Carlos|Phelps|M|001 Smith Walks Apt. 770|La Puente|CA|91746|34.0443|-117.9862|115525|Phytotherapist|1994-08-06|999389892260|adults_2550_male_urban.json|88b48a4b03f3d323602ec45e24fb4c92|2025-01-03|22:48:15|1735944495|shopping_pos|1008.27|1|fraud_Schuppe, Nolan and Hoeger|34.652094|-118.706614
715-46-1038|180036374545891|Carlos|Phelps|M|001 Smith Walks Apt. 770|La Puente|CA|91746|34.0443|-117.9862|115525|Phytotherapist|1994-08-06|999389892260|adults_2550_male_urban.json|01be69745aeb1db8db677ffa5fd0b7f7|2025-01-03|23:14:16|1735946056|shopping_pos|1133.84|1|fraud_Kris-Padberg|33.068214|-117.325455
715-46-1038|180036374545891|Carlos|Phelps|M|001 Smith Walks Apt. 770|La Puente|CA|91746|34.0443|-117.9862|115525|Phytotherapist|1994-08-06|999389892260|adults_2550_male_urban.json|b665f470fb1febee20480a84079ab1d8|2025-01-03|22:50:22|1735944622|shopping_net|1028.61|1|fraud_Romaguera, Cruickshank and Greenholt|35.009434|-118.724770
715-46-1038|180036374545891|Carlos|Phelps|M|001 Smith Walks Apt. 770|La Puente|CA|91746|34.0443|-117.9862|115525|Phytotherapist|1994-08-06|999389892260|adults_2550_male_urban.json|69def0595ee54605257b6828bfabc38e|2025-01-03|23:53:16|1735948396|shopping_net|643.62|1|fraud_Price Inc|34.691647|-118.241721
715-46-1038|180036374545891|Carlos|Phelps|M|001 Smith Walks Apt. 770|La Puente|CA|91746|34.0443|-117.9862|115525|Phytotherapist|1994-08-06|999389892260|adults_2550_male_urban.json|44901609a8192ffa42bf3010c0c33a40|2025-01-03|22:11:08|1735942268|personal_care|759.40|1|fraud_Nader-Maggio|34.304895|-117.696830
715-46-1038|180036374545891|Carlos|Phelps|M|001 Smith Walks Apt. 770|La Puente|CA|91746|34.0443|-117.9862|115525|Phytotherapist|1994-08-06|999389892260|adults_2550_male_urban.json|aaa4fe43db1ea43d811d8fdeeb249b6d|2025-01-03|23:36:47|1735947407|shopping_net|16.88|1|fraud_Schmidt and Sons|34.208948|-118.468559
715-46-1038|180036374545891|Carlos|Phelps|M|001 Smith Walks Apt. 770|La Puente|CA|91746|34.0443|-117.9862|115525|Phytotherapist|1994-08-06|999389892260|adults_2550_male_urban.json|50572aadf40a882a17a5d892bac974b9|2025-01-01|17:53:58|1735754038|misc_pos|5.16|0|fraud_Gislason Group|33.301883|-117.176044
715-46-1038|180036374545891|Carlos|Phelps|M|001 Smith Walks Apt. 770|La Puente|CA|91746|34.0443|-117.9862|115525|Phytotherapist|1994-08-06|999389892260|adults_2550_male_urban.json|6cfae5c6028f781845c333c52230b152|2025-01-01|23:10:16|1735773016|misc_pos|77.94|0|fraud_Herzog Ltd|34.703012|-118.323100
700-23-7718|5191043006848665|Michael|Miller|M|1418 Terri Drives|Chandler|AZ|85225|33.3105|-111.8239|255641|Software engineer|1994-08-03|430900111440|adults_2550_male_urban.json|e2128527d3390871e3f633dc12df4148|2025-01-02|01:17:03|1735780623|misc_net|285.27|1|fraud_Koelpin and Sons|32.870209|-111.057052
