ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Quincy|FL|32351|30.5867|-84.6094|17486|Programmer, systems|1975-02-08|146488330909|adults_50up_female_urban.json|68b288020dd03f24deb356f03a2c5575|2025-01-02|03:58:49|1735790329|grocery_pos|10.39|1|fraud_McDermott-Weimann|30.249800|-85.524007
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Quincy|FL|32351|30.5867|-84.6094|17486|Programmer, systems|1975-02-08|146488330909|adults_50up_female_urban.json|50572aadf40a882a17a5d892bac974b9|2025-01-02|00:51:56|1735779116|grocery_pos|10.68|1|fraud_Kovacek, Dibbert and Ondricka|30.508690|-85.273422
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Quincy|FL|32351|30.5867|-84.6094|17486|Programmer, systems|1975-02-08|146488330909|adults_50up_female_urban.json|6cfae5c6028f781845c333c52230b152|2025-01-02|03:41:49|1735789309|gas_transport|315.00|1|fraud_Marks Inc|30.734468|-83.966029
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Quincy|FL|32351|30.5867|-84.6094|17486|Programmer, systems|1975-02-08|146488330909|adults_50up_female_urban.json|4d37f8dc682338a28d8934b05acb356a|2025-01-02|00:17:28|1735777048|gas_transport|321.66|1|fraud_Lind, Huel and McClure|30.376697|-85.550435
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Quincy|FL|32351|30.5867|-84.6094|17486|Programmer, systems|1975-02-08|146488330909|adults_50up_female_urban.json|0c4a29cc8f6776552df842744a2791e5|2025-01-02|00:25:09|1735777509|grocery_pos|283.34|1|fraud_Rowe, Batz and Goodwin|30.953126|-85.263786
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Quincy|FL|32351|30.5867|-84.6094|17486|Programmer, systems|1975-02-08|146488330909|adults_50up_female_urban.json|306a491cd7ed7b4939aa3f3acf3ae47c|2025-01-03|23:25:15|1735946715|misc_net|910.87|1|fraud_Bogisich-Homenick|30.016132|-85.235098
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Quincy|FL|32351|30.5867|-84.6094|17486|Programmer, systems|1975-02-08|146488330909|adults_50up_female_urban.json|28a0e7a6e9e0ac72f8e3f5265eab10f9|2025-01-03|23:08:53|1735945733|shopping_net|1057.02|1|fraud_Auer-West|30.146409|-83.842552
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Quincy|FL|32351|30.5867|-84.6094|17486|Programmer, systems|1975-02-08|146488330909|adults_50up_female_urban.json|9cd0e5d916805bfaf2ba1cc23f057555|2025-01-03|23:55:45|1735948545|entertainment|427.46|1|fraud_Upton PLC|29.655999|-84.371047
787-71-0441|3537416724342666|Angela|Ewing|F|688 Stephens Turnpike Suite 891|La Grange|KY|40031|38.4029|-85.3928|22863|Clinical embryologist|1968-03-13|273885572142|adults_50up_female_urban.json|ad1ab50a4d6bab41c6fd4a57ed2c5525|2025-01-02|01:16:29|1735780589|grocery_pos|11.83|1|fraud_Rowe, Batz and Goodwin|39.007236|-84.803108
787-71-0441|3537416724342666|Angela|Ewing|F|688 Stephens Turnpike Suite 891|La Grange|KY|40031|38.4029|-85.3928|22863|Clinical embryologist|1968-03-13|273885572142|adults_50up_female_urban.json|a7b3805a3ed2470c859473df0116c2d8|2025-01-02|03:31:28|1735788688|gas_transport|300.49|1|fraud_Brekke and Sons|39.381707|-84.828968
