ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
715-55-5575|4351161559407816183|Edward|Fuller|M|310 Kendra Common Apt. 164|Coplay|PA|18037|40.6166|-75.4896|7070|Professor Emeritus|1966-06-07|917558277935|adults_50up_male_urban.json|480dce5920a6fc371d604cc03dcd1a48|2025-01-02|03:23:23|1735788203|grocery_pos|276.00|1|fraud_Kilback LLC|39.754453|-75.559412
715-55-5575|4351161559407816183|Edward|Fuller|M|310 Kendra Common Apt. 164|Coplay|PA|18037|40.6166|-75.4896|7070|Professor Emeritus|1966-06-07|917558277935|adults_50up_male_urban.json|096dd66c15ee589418b9d57be881206c|2025-01-02|00:59:09|1735779549|grocery_pos|302.50|1|fraud_Bradtke PLC|40.181214|-74.799907
715-55-5575|4351161559407816183|Edward|Fuller|M|310 Kendra Common Apt. 164|Coplay|PA|18037|40.6166|-75.4896|7070|Professor Emeritus|1966-06-07|917558277935|adults_50up_male_urban.json|93c6617acd74fa328dfd7b9fb0b1e93c|2025-01-03|22:05:53|1735941953|shopping_net|302.19|1|fraud_Schumm PLC|40.271202|-75.383417
715-55-5575|4351161559407816183|Edward|Fuller|M|310 Kendra Common Apt. 164|Coplay|PA|18037|40.6166|-75.4896|7070|Professor Emeritus|1966-06-07|917558277935|adults_50up_male_urban.json|b9e5c0858d1200f6147eaf2e3301601b|2025-01-02|23:42:50|1735861370|misc_net|794.97|1|fraud_Bernier, Volkman and Hoeger|39.632538|-76.088258
715-55-5575|4351161559407816183|Edward|Fuller|M|310 Kendra Common Apt. 164|Coplay|PA|18037|40.6166|-75.4896|7070|Professor Emeritus|1966-06-07|917558277935|adults_50up_male_urban.json|1ea0edeaf51666e7fb0348307456db4a|2025-01-02|23:13:30|1735859610|grocery_pos|726.70|1|fraud_Hudson-Ratke|40.744213|-75.881781
715-55-5575|4351161559407816183|Edward|Fuller|M|310 Kendra Common Apt. 164|Coplay|PA|18037|40.6166|-75.4896|7070|Professor Emeritus|1966-06-07|917558277935|adults_50up_male_urban.json|aba7cf1b03c679c8583cde8e8d16e081|2025-01-03|22:31:45|1735943505|health_fitness|1050.28|1|fraud_Brown, Homenick and Lesch|40.862035|-75.561747
715-55-5575|4351161559407816183|Edward|Fuller|M|310 Kendra Common Apt. 164|Coplay|PA|18037|40.6166|-75.4896|7070|Professor Emeritus|1966-06-07|917558277935|adults_50up_male_urban.json|9ed41104b280801c28743d16f504f183|2025-01-03|22:15:00|1735942500|shopping_pos|864.64|1|fraud_Macejkovic-Lesch|40.799982|-75.502879
715-55-5575|4351161559407816183|Edward|Fuller|M|310 Kendra Common Apt. 164|Coplay|PA|18037|40.6166|-75.4896|7070|Professor Emeritus|1966-06-07|917558277935|adults_50up_male_urban.json|fe1a26b8d4d6d904c823eddbde649479|2025-01-03|22:06:59|1735942019|misc_net|18.20|1|fraud_Tillman, Fritsch and Schmitt|41.161827|-76.098755
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Lake Zurich|IL|60047|42.2165|-88.0769|41669|Medical laboratory scientific officer|1971-05-22|888335239225|adults_50up_male_urban.json|7667319a6c0b606d2076fbc92fcd19e9|2025-01-02|01:04:46|1735779886|grocery_pos|11.69|1|fraud_Koepp-Parker|42.895648|-87.322503
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Lake Zurich|IL|60047|42.2165|-88.0769|41669|Medical laboratory scientific officer|1971-05-22|888335239225|adults_50up_male_urban.json|f415622df6f7dcb3c145e84675212410|2025-01-02|03:52:56|1735789976|gas_transport|296.51|1|fraud_Robel, Cummerata and Prosacco|43.118481|-89.073976
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Lake Zurich|IL|60047|42.2165|-88.0769|41669|Medical laboratory scientific officer|1971-05-22|888335239225|adults_50up_male_urban.json|fd6e320ee602a42b2a0842aecb32f370|2025-01-02|22:02:26|1735855346|grocery_pos|279.12|1|fraud_Strosin-Cruickshank|42.531108|-87.378888
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Lake Zurich|IL|60047|42.2165|-88.0769|41669|Medical laboratory scientific officer|1971-05-22|888335239225|adults_50up_male_urban.json|0539742a9db26c5aba3ee9f98300c14c|2025-01-02|22:36:29|1735857389|grocery_pos|300.34|1|fraud_Osinski, Ledner and Leuschke|42.670930|-88.869002
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Lake Zurich|IL|60047|42.2165|-88.0769|41669|Medical laboratory scientific officer|1971-05-22|888335239225|adults_50up_male_urban.json|21871263f6911f07299c965013809948|2025-01-03|23:17:52|1735946272|misc_net|780.90|1|fraud_Johnson, Runolfsdottir and Mayer|42.276129|-88.600565
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Lake Zurich|IL|60047|42.2165|-88.0769|41669|Medical laboratory scientific officer|1971-05-22|888335239225|adults_50up_male_urban.json|9b882c94040cfb38cc84c2f91d14d656|2025-01-03|21:47:36|1735940856|shopping_pos|965.59|1|fraud_Pacocha-Bauch|42.200558|-88.957110
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Lake Zurich|IL|60047|42.2165|-88.0769|41669|Medical laboratory scientific officer|1971-05-22|888335239225|adults_50up_male_urban.json|62b1b1754fb10d153e08876a1749524d|2025-01-03|22:16:35|1735942595|shopping_net|1002.56|1|fraud_Ankunding LLC|43.210419|-87.653595
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Lake Zurich|IL|60047|42.2165|-88.0769|41669|Medical laboratory scientific officer|1971-05-22|888335239225|adults_50up_male_urban.json|739fb1e0b6f6f5b3fd37961fe4ff26ea|2025-01-01|07:17:53|1735715873|gas_transport|81.87|0|fraud_Eichmann, Bogan and Rodriguez|43.059049|-87.282325
229-04-3165|6541458685014295|Victor|Baker|M|655 Obrien Pass|Lemoore|CA|93245|36.2682|-119.8173|37412|Commercial art gallery manager|1957-09-29|989496879843|adults_50up_male_urban.json|d77857f39feea10d5db158c1657178e5|2025-01-02|01:18:12|1735780692|grocery_pos|13.47|1|fraud_Bogisich Inc|37.196637|-120.343757
229-04-3165|6541458685014295|Victor|Baker|M|655 Obrien Pass|Lemoore|CA|93245|36.2682|-119.8173|37412|Commercial art gallery manager|1957-09-29|989496879843|adults_50up_male_urban.json|ce32ff7dcf6aaba415105579bcfab78f|2025-01-02|00:40:08|1735778408|gas_transport|9.62|1|fraud_Christiansen, Goyette and Schamberger|35.790182|-120.187282
229-04-3165|6541458685014295|Victor|Baker|M|655 Obrien Pass|Lemoore|CA|93245|36.2682|-119.8173|37412|Commercial art gallery manager|1957-09-29|989496879843|adults_50up_male_urban.json|90b437cbe3341df338ab0a0330a161c9|2025-01-02|02:06:43|1735783603|grocery_pos|323.72|1|fraud_Lockman Ltd|36.869834|-119.415849
229-04-3165|6541458685014295|Victor|Baker|M|655 Obrien Pass|Lemoore|CA|93245|36.2682|-119.8173|37412|Commercial art gallery manager|1957-09-29|989496879843|adults_50up_male_urban.json|2a2249fda6d288aeb5b2d4df478e3532|2025-01-02|03:09:00|1735787340|grocery_net|292.27|1|fraud_Towne, Walker and Borer|36.738906|-120.181185
