ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
115-04-4507|4218196001337|Jonathan|Johnson|M|863 Lawrence Valleys|Brooklyn|NY|11212|40.6625|-73.9145|2504700|Accounting technician|1981-10-03|888022315787|adults_2550_male_urban.json
715-55-5575|4351161559407816183|Edward|Fuller|M|310 Kendra Common Apt. 164|Coplay|PA|18037|40.6166|-75.4896|7070|Professor Emeritus|1966-06-07|917558277935|adults_50up_male_urban.json
167-48-5821|4192832764832|Melinda|Cameron|F|05641 Robin Port|Charlestown|MA|02129|42.3778|-71.0627|16439|International aid/development worker|1966-05-30|718172762479|adults_50up_female_urban.json
406-83-7518|4238849696532874|Ann|Williams|F|26916 Carlson Mountain|Chicago|IL|60642|41.9008|-87.6528|2680484|Seismic interpreter|1972-12-26|947268892251|adults_50up_female_urban.json
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Lake Zurich|IL|60047|42.2165|-88.0769|41669|Medical laboratory scientific officer|1971-05-22|888335239225|adults_50up_male_urban.json
246-08-3947|3517182278248964|Tracey|Hickman|F|465 Lam Mission|Kirksville|MO|63501|40.1908|-92.5856|21532|Community arts worker|1941-06-18|245877882397|adults_50up_female_urban.json
347-03-9639|213193010310510|Kayla|Ramirez|F|82997 Kristen Valley Suite 311|Richmond|VA|23229|37.5957|-77.5704|536907|Plant breeder/geneticist|1975-03-06|465378164447|adults_50up_female_urban.json
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Marietta|GA|30066|34.0378|-84.5038|302309|Quarry manager|1979-12-27|950105810049|adults_2550_male_urban.json
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Home|PA|15747|40.7834|-79.1641|2027|Retail buyer|1990-08-23|940251608167|adults_2550_male_rural.json
162-08-8321|2222913619399092|Bradley|Sandoval|M|3534 Anderson Rue Suite 751|Young America|MN|55397|44.7929|-93.918|2693|Acupuncturist|1998-01-26|684868121383|adults_2550_male_urban.json
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|San Pablo|CA|94806|37.9724|-122.3369|59861|Surgeon|2005-02-26|297020387114|young_adults_male_urban.json
620-27-5618|4874016400529|Mandy|Green|F|680 Charles Spurs Apt. 805|Brooklyn|NY|11223|40.5979|-73.9743|2504700|Television floor manager|1999-08-02|161286867170|adults_2550_female_urban.json
131-06-5051|345331586923222|Stanley|Johnson|M|3421 Brennan Walks Suite 337|San Francisco|CA|94115|37.7856|-122.4358|805301|Maintenance engineer|1982-08-16|903253916954|adults_2550_male_urban.json
229-04-3165|6541458685014295|Victor|Baker|M|655 Obrien Pass|Lemoore|CA|93245|36.2682|-119.8173|37412|Commercial art gallery manager|1957-09-29|989496879843|adults_50up_male_urban.json
195-33-0728|3508835615951480|Eric|Ortiz|M|482 Robert Light Apt. 994|North Fort Myers|FL|33917|26.7357|-81.8435|49442|Optician, dispensing|1965-08-14|917181406434|adults_50up_male_urban.json
312-37-3444|6577738721489511|Sabrina|Potter|F|32003 Carr Trafficway Apt. 769|Brighton|CO|80601|39.943|-104.7866|73471|Engineer, broadcasting (operations)|1957-01-06|767589450881|adults_50up_female_urban.json
507-52-3998|4163287083172781|Victoria|Larson|F|868 Merritt Summit Suite 743|San Antonio|TX|78222|29.3831|-98.396|1595797|Health and safety inspector|2000-01-23|857987636625|adults_2550_female_urban.json
497-81-3920|4143455812236231660|Erin|Owens|F|66909 Woods Knoll|Cullman|AL|35055|34.1761|-86.8298|41993|Hydrogeologist|1983-09-26|428437913341|adults_2550_female_urban.json
552-96-8948|3573467065627293|Kimberly|Meadows|F|62720 Gray Forest|Spokane|WA|99206|47.6496|-117.2581|342856|Programme researcher, broadcasting/film/video|1992-04-04|370770979513|adults_2550_female_urban.json
285-97-6907|4708053100330923275|Michael|Elliott|M|4529 Kimberly Estates|Atlanta|GA|30314|33.7561|-84.4255|900273|Insurance risk surveyor|2003-11-24|636119440405|young_adults_male_urban.json
320-74-6150|6011193149190586|Jessica|Wood|F|67165 Zimmerman Mews Apt. 849|Cadet|MO|63630|38.0125|-90.7439|4062|Solicitor|1953-11-15|531608037091|adults_50up_female_urban.json
447-94-9708|4314737996507527356|Robert|Peterson|M|083 John Lodge Suite 837|Pittsburgh|PA|15235|40.4598|-79.8224|687276|Recycling officer|1974-10-26|869508288813|adults_50up_male_urban.json
096-38-3631|6011495788568554|Michele|Nelson|F|13518 James Streets Suite 498|Buena Park|CA|90620|33.8439|-118.008|80266|Therapist, speech and language|1997-08-02|915259790398|adults_2550_female_urban.json
304-30-5913|4082400842710944|Julie|Alexander|F|47116 Jones Roads|Springville|AL|35146|33.7386|-86.4394|10948|Astronomer|1960-08-09|163860419795|adults_50up_female_urban.json
312-11-4067|2706999386774968|Elizabeth|Oliver|F|34123 Andrea Estate|Napa|CA|94558|38.4549|-122.2564|94014|Accountant, chartered|1965-02-24|495675808653|adults_50up_female_urban.json
609-61-4772|564471349360|Ashley|Walker|F|2102 Larson Views|Napa|CA|94559|38.2904|-122.2841|94014|Teacher, adult education|1973-06-16|317489104406|adults_50up_female_urban.json
128-60-4983|3548877190659403|Brandon|Hayden|M|490 Thomas Run|New Milford|NJ|07646|40.9331|-74.0195|16341|Private music teacher|1999-12-10|308877180672|adults_2550_male_urban.json
600-56-8057|2556551256746807|Jesse|Edwards|M|68087 Brown Path Suite 977|Philadelphia|PA|19142|39.9223|-75.2338|1526206|Arts development officer|1984-03-05|292932052116|adults_2550_male_urban.json
135-37-7179|3510932480861310|Joel|Wilson|M|4846 Baird Gardens|Bothell|WA|98021|47.7918|-122.2243|107070|Programmer, multimedia|1973-09-08|161281455424|adults_50up_male_urban.json
196-77-8328|3514658404499723|Jeremy|Washington|M|867 Kane Square Apt. 963|Manville|RI|02838|41.9689|-71.4741|3400|Paediatric nurse|2001-01-19|348079814698|young_adults_male_urban.json
723-49-6326|4702895171870260|Shelby|Booker|F|4596 Melissa Walk|Lutz|FL|33559|28.1801|-82.4169|57430|Social research officer, government|1965-02-03|688554816658|adults_50up_female_urban.json
