ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
513-96-5667|502063159995|Jennifer|Ayala|F|477 Michael Lane|Aiken|SC|29803|33.5059|-81.6951|69485|Podiatrist|2003-09-01|748122047461|young_adults_female_urban.json|0539742a9db26c5aba3ee9f98300c14c|2025-01-02|03:51:19|1735789879|grocery_pos|300.46|1|fraud_Schoen, Kuphal and Nitzsche|32.713798|-81.635471
513-96-5667|502063159995|Jennifer|Ayala|F|477 Michael Lane|Aiken|SC|29803|33.5059|-81.6951|69485|Podiatrist|2003-09-01|748122047461|young_adults_female_urban.json|21871263f6911f07299c965013809948|2025-01-03|01:28:26|1735867706|grocery_pos|298.28|1|fraud_Osinski, Ledner and Leuschke|32.982235|-81.711042
513-96-5667|502063159995|Jennifer|Ayala|F|477 Michael Lane|Aiken|SC|29803|33.5059|-81.6951|69485|Podiatrist|2003-09-01|748122047461|young_adults_female_urban.json|9b882c94040cfb38cc84c2f91d14d656|2025-01-03|02:52:44|1735872764|grocery_pos|293.04|1|fraud_Murray-Smitham|32.625690|-80.701181
513-96-5667|502063159995|Jennifer|Ayala|F|477 Michael Lane|Aiken|SC|29803|33.5059|-81.6951|69485|Podiatrist|2003-09-01|748122047461|young_adults_female_urban.json|62b1b1754fb10d153e08876a1749524d|2025-01-03|01:22:44|1735867364|misc_net|334.01|1|fraud_Rippin, Kub and Mann|33.929205|-82.509047
513-96-5667|502063159995|Jennifer|Ayala|F|477 Michael Lane|Aiken|SC|29803|33.5059|-81.6951|69485|Podiatrist|2003-09-01|748122047461|young_adults_female_urban.json|9ce7af941c501dbde3599d1ac88b3317|2025-01-03|09:15:01|1735895701|misc_net|739.69|1|fraud_Lehner, Mosciski and King|34.348449|-80.900525
513-96-5667|502063159995|Jennifer|Ayala|F|477 Michael Lane|Aiken|SC|29803|33.5059|-81.6951|69485|Podiatrist|2003-09-01|748122047461|young_adults_female_urban.json|eb90b995095f4eb05a92e02c01eb25d3|2025-01-03|02:11:54|1735870314|misc_net|794.02|1|fraud_Hamill-Daugherty|33.545418|-81.293406
513-96-5667|502063159995|Jennifer|Ayala|F|477 Michael Lane|Aiken|SC|29803|33.5059|-81.6951|69485|Podiatrist|2003-09-01|748122047461|young_adults_female_urban.json|86e3765e89a2bf91ef3217521a2e4c2f|2025-01-03|01:01:24|1735866084|misc_net|946.97|1|fraud_Kerluke Inc|33.250884|-80.745990
513-96-5667|502063159995|Jennifer|Ayala|F|477 Michael Lane|Aiken|SC|29803|33.5059|-81.6951|69485|Podiatrist|2003-09-01|748122047461|young_adults_female_urban.json|c19a439c652a2bf28244ff6e4093b9b7|2025-01-02|01:36:39|1735781799|grocery_pos|612.87|1|fraud_Goldner, Kovacek and Abbott|32.675705|-82.503946
513-96-5667|502063159995|Jennifer|Ayala|F|477 Michael Lane|Aiken|SC|29803|33.5059|-81.6951|69485|Podiatrist|2003-09-01|748122047461|young_adults_female_urban.json|38f9226676b682215ce8535232cbb2b9|2025-01-03|23:30:10|1735947010|shopping_pos|1152.16|1|fraud_Kris-Padberg|32.772928|-81.055174
513-96-5667|502063159995|Jennifer|Ayala|F|477 Michael Lane|Aiken|SC|29803|33.5059|-81.6951|69485|Podiatrist|2003-09-01|748122047461|young_adults_female_urban.json|8117863452c1f88ff3e41234448ecb6e|2025-01-03|22:50:36|1735944636|shopping_net|1073.85|1|fraud_Volkman-Predovic|32.655561|-81.559459
513-96-5667|502063159995|Jennifer|Ayala|F|477 Michael Lane|Aiken|SC|29803|33.5059|-81.6951|69485|Podiatrist|2003-09-01|748122047461|young_adults_female_urban.json|a866a0d0b46b680d9ce24337f3d3611e|2025-01-03|22:18:42|1735942722|shopping_net|725.93|1|fraud_Medhurst PLC|33.375866|-80.766663
513-96-5667|502063159995|Jennifer|Ayala|F|477 Michael Lane|Aiken|SC|29803|33.5059|-81.6951|69485|Podiatrist|2003-09-01|748122047461|young_adults_female_urban.json|d8342c455ef3ad88075823e0fe2e982d|2025-01-01|10:17:09|1735726629|grocery_pos|58.05|0|fraud_Kutch and Sons|34.107534|-81.293649
