ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|San Pablo|CA|94806|37.9724|-122.3369|59861|Surgeon|2005-02-26|297020387114|young_adults_male_urban.json|480dce5920a6fc371d604cc03dcd1a48|2025-01-03|07:18:44|1735888724|misc_net|11.37|1|fraud_Schmitt Ltd|37.902588|-122.772286
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|San Pablo|CA|94806|37.9724|-122.3369|59861|Surgeon|2005-02-26|297020387114|young_adults_male_urban.json|096dd66c15ee589418b9d57be881206c|2025-01-02|02:22:07|1735784527|gas_transport|316.78|1|fraud_Mraz-Herzog|38.662093|-122.682298
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|San Pablo|CA|94806|37.9724|-122.3369|59861|Surgeon|2005-02-26|297020387114|young_adults_male_urban.json|93c6617acd74fa328dfd7b9fb0b1e93c|2025-01-02|02:49:02|1735786142|grocery_pos|318.42|1|fraud_McDermott-Weimann|38.078583|-123.320962
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|San Pablo|CA|94806|37.9724|-122.3369|59861|Surgeon|2005-02-26|297020387114|young_adults_male_urban.json|b9e5c0858d1200f6147eaf2e3301601b|2025-01-03|00:46:54|1735865214|misc_net|298.85|1|fraud_Jaskolski-Vandervort|37.373742|-122.209287
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|San Pablo|CA|94806|37.9724|-122.3369|59861|Surgeon|2005-02-26|297020387114|young_adults_male_urban.json|1ea0edeaf51666e7fb0348307456db4a|2025-01-02|02:25:49|1735784749|grocery_pos|778.86|1|fraud_Doyle Ltd|37.580219|-122.091465
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|San Pablo|CA|94806|37.9724|-122.3369|59861|Surgeon|2005-02-26|297020387114|young_adults_male_urban.json|aba7cf1b03c679c8583cde8e8d16e081|2025-01-02|01:14:34|1735780474|grocery_pos|841.30|1|fraud_Kovacek, Dibbert and Ondricka|37.900253|-122.153518
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|San Pablo|CA|94806|37.9724|-122.3369|59861|Surgeon|2005-02-26|297020387114|young_adults_male_urban.json|9ed41104b280801c28743d16f504f183|2025-01-03|22:17:31|1735942651|shopping_net|6.94|1|fraud_Fisher-Schowalter|37.959121|-121.791673
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|San Pablo|CA|94806|37.9724|-122.3369|59861|Surgeon|2005-02-26|297020387114|young_adults_male_urban.json|fe1a26b8d4d6d904c823eddbde649479|2025-01-03|18:26:39|1735928799|misc_pos|909.76|1|fraud_McCullough LLC|37.363245|-121.536013
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|San Pablo|CA|94806|37.9724|-122.3369|59861|Surgeon|2005-02-26|297020387114|young_adults_male_urban.json|0b9e6299059906f5f9e0daa7df76dd62|2025-01-03|22:03:26|1735941806|home|218.00|1|fraud_Botsford PLC|38.493364|-122.846646
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|San Pablo|CA|94806|37.9724|-122.3369|59861|Surgeon|2005-02-26|297020387114|young_adults_male_urban.json|0539742a9db26c5aba3ee9f98300c14c|2025-01-01|01:49:22|1735696162|gas_transport|79.37|0|fraud_Robel, Cummerata and Prosacco|38.726797|-121.434919
285-97-6907|4708053100330923275|Michael|Elliott|M|4529 Kimberly Estates|Atlanta|GA|30314|33.7561|-84.4255|900273|Insurance risk surveyor|2003-11-24|636119440405|young_adults_male_urban.json|89f5a0579b0036021a7daa763b5f5faf|2025-01-02|10:23:33|1735813413|grocery_pos|8.12|1|fraud_Lockman Ltd|33.023128|-83.785574
285-97-6907|4708053100330923275|Michael|Elliott|M|4529 Kimberly Estates|Atlanta|GA|30314|33.7561|-84.4255|900273|Insurance risk surveyor|2003-11-24|636119440405|young_adults_male_urban.json|4e160e303a1f9b4542947dd4b7e5a053|2025-01-03|00:11:42|1735863102|misc_net|9.78|1|fraud_Klocko LLC|32.905761|-84.289859
285-97-6907|4708053100330923275|Michael|Elliott|M|4529 Kimberly Estates|Atlanta|GA|30314|33.7561|-84.4255|900273|Insurance risk surveyor|2003-11-24|636119440405|young_adults_male_urban.json|956f73e2d968b015f052dd898622656f|2025-01-02|01:59:43|1735783183|gas_transport|10.50|1|fraud_Huels-Hahn|33.626066|-83.497063
285-97-6907|4708053100330923275|Michael|Elliott|M|4529 Kimberly Estates|Atlanta|GA|30314|33.7561|-84.4255|900273|Insurance risk surveyor|2003-11-24|636119440405|young_adults_male_urban.json|739fb1e0b6f6f5b3fd37961fe4ff26ea|2025-01-03|00:59:49|1735865989|misc_net|13.77|1|fraud_Corwin-Gorczany|33.229643|-84.903518
